Simplimatic Engineering Company 
Solar Optimizing Systems Inc
Solar Power Corporation
Solar Power Inc
Solar Pump Corporation
Solar Reactor Technologies Inc
Solar Scientific Inc
Solar Shelter Engineering Inc
Solar Signage Inc
Solar Southwest
Solar Specialties Inc
Solar Strategies Development Inc
Solar Tectic LLC
Solar Turbines Inc
Solar Turbines Incorporated
Solar Unlimited Inc
Solar and Environmental Technologies Corporation
Solar-Mates Inc
Solar-Tectic LLC
SolarBridge Technologies Inc
SolarCity Corporation
SolarFlex Technologies Inc
SolarLego Inc
SolarLogic LLC
SolarOasis
SolarOne Solutions Inc
SolarPath Inc
SolarTech International LLC
SolarWorld Americas Inc
Solarant Medical Inc
Solarcare Technologies Corporation
Solardyne Inc
Solarex Corporation
Solarflare Communications Inc
Solaria Corporation
Solariat Inc
Solaris Holdings Limited
Solaris Nanosciences Inc
Solarmer Energy Inc
Solaron Corporation
Solarspan Inc
Solartrec Inc
Solarwinds Worldwide LLC
Solation Products Inc
Solberg Manufacturing Inc
Solberg Mfg Co
Solcar Polymer Limited Partnership
Solcas Polymer Inc
Solcas Polymer Limited Partnership
Soleeva Solar Inc
Solenis Technologies LP
Solex
Solexa Inc
Solexant Corp
Solid Green Developments LLC
Solid Phase Sciences Corporation 
Solid Photography Inc
Solid State Chargers Inc
Solid State Chargers Research and Development
Solid State Chargers Research and Development Limited
Solid State Devices Inc
Solid State Measurements Inc
Solid State Scientific Inc
Solid-State Research Inc
SolidTek Systems Inc
SolidaWater Holdings
Solidas Corporation
Solidia Technologies Inc
Solidification Products International Inc
Solidiwaste Technology LP
Solids Dewatering Systems Inc
Solight Solar Inc
Soligie Inc
Solimar Yachts
Solite Corporation
Soliton Lasers
Solitron Devices Inc
Sollac
Solo Cup Company
Solo Enery Corporation
SoloPower Inc
SoloRider Industries Inc
Solomon Technologies Inc
Solucorp Industries Ltd
Solus Micro Technologies Inc
Solutia Inc
Solutia Incorporated
Solution Dynamics LLC
Solvay (Societe Anonyme)
Solvay Advanced Polymers LLC
Solvay Chemicals Inc
Solvay Engineered Polymers
Solvay Enzymes Inc
Solvay Interox
Solvay Minerals Inc
Solvay Pharmaceuticals Inc
Solvay Specialty Polymers USA LLC
Solyndra LLC
SomaGenics Inc
Somarakis Environmental Systems LLC
Somatix Therapy Corporation 
Somatogen Inc
Somero Enterprises Inc
Somerset Technologies Inc
Sonaca SA
Soneticom Inc
Sonex Research Inc
Sonic innovations
SonicWall Inc
Sonnax Industries Inc
SonoGene LLC
Sonoco Development Inc
Sonoco Products Company
Sonolink Communications Systems LLC
Sonomax Technologies Inc
Sonos Inc
Sonoscan Inc
Sonowise Inc
Sontrix Division of Pittway Corporation
Sonus Networks Inc
Sonus Pharmaceuticals
Sony Chemicals Corporation 
Sony Cinema Products Corporation
Sony Cinema Products Inc
Sony Computer Entertainment Inc
Sony Corporation
Sony Corporation of America
Sony Electronics Inc
Sony Ericsson Mobile Communications AB
Sony Interactive Entertainment America LLC
Sony Network Entertainment International LLC
Sony Pictures Entertainment Inc
Sony Pictures Image Works
Sony Transcom Inc
Sony United Kingdom Limited
Sophoro Biotechnologies LLC
Soraa Inc
Soraa Laser Diode Inc
Sorain Cecchini Recovery Incorporated
Sorbant Corporation
Sorce Inc
Sorensen Research and Development Trust
Sorenson Bioscience
Sorenson Development Inc
Sorenson Research Co Inc
Sorrento Engineering Corporation
Sotac Corporation
Soucy International Inc
Soulsearchcom Inc
SounDesign LLC
Sound Control Technologies Inc
Sound Related Technologies Inc 
Sound Sources Technology Inc
Sound Starts Inc
Soundadvice for Sports Inc
Source Food Technology Inc
Source Photonics Inc
Source Precision Medicine Inc
Souriau USA Inc
South Alabama Medical Science Foundation
South Dakota Board of Regents
South Dakota School of Mines & Technology
South Dakota State University
South Louisiana Contractors Inc
South-Co Machinery Company Inc
Southdown Inc
Southeast Directional Drilling LLC
Southeast Nonwovens Inc
Southeast Tire Company
Southeastern Research Laboratories Inc
Southeastern Research and Development Inc
Southeastern Technologies Inc 
Southeastern Univ Research Assn
Southeastern Universities Research Association Inc
Southern Biosystems Inc
Southern Breeze Fabricators Inc
Southern California Edison Company
Southern California Gas Co
Southern Clay Products Inc
Southern Company Services Inc
Southern Cross Designs
Southern Felt Company Inc
Southern Illinois University
Southern Imperial Inc
Southern Ionica Incorporated
Southern Laser Inc
Southern Methodist University
Southern Pacific Land Co
Southern Research Institute
Southern Star Concrete Inc
Southern States LLC
Southern Steel Company
Southern Water Treatment
Southern Water Treatment Company Inc
Southern Weaving Company
Southhampton Photonics Ltd
Southpac Trust International Inc
Southplains Biotechnologies Inc
Southwall Technologies Inc
Southwest Electric Company
Southwest Electronic Energy Corporation
Southwest Foundation for Biomedical Research
Southwest Microwave Inc
Southwest Research Institute
Southwest Windpower Inc
Southwestern Laboratories Inc
Southwire Company
Sovonics Solar Systems
Space Industries Inc
Space Sciences Corporation 
Space Systems/Loral Inc
Spacelabs Medical Inc 
Spalding Sports Worldwide Inc
Span Inc
Span Instruments Inc
Spangler Candy Company 
Spansion LLC
Sparkler Filters Inc
Sparkler Mfg Co
Sparklet Devices Inc
Sparkolor Corporation
Sparta Inc
Sparta Surgical Corp
Sparton Corporation
Spatializer Audio Laboratories Inc
Spauschus Associates Inc
Speakman Company
Spec International Inc
SpecTran Corporation
Special Hermetic Products Inc
Special Materials Research and Technology Inc
Special Metals Corporation
Special T Lighting Inc
Specialized Health Products Inc
Specialized Health Products International
Specialty Adhesive Film Co
Specialty Coating Systems Inc
Specialty Equipment Companies Inc
Specialty Hardware LP
Specialty Minerals (Michigan) Inc
Specialty Products Inc
Specific Cruise Systems Inc
Specified Technologies Inc
Spectacolor Inc
Spectra Analysis Instruments Incorporated
Spectra Diode Laboratories Inc
Spectra Physics Lasers Inc
Spectra Symbol Corp
Spectra-Physics Inc
Spectra-Physics Laserplane Inc
Spectra-Physics Lasers
Spectra-Physics Scanning Systems Inc
Spectra-Physics Semiconductor Lasers Inc
Spectra-Symbol Corporation
SpectraSensors Inc
Spectral Imaging Laboratory
Spectral Solutions Inc
Spectranetics Corporation
Spectre Resources Associates Ltd
Spectrian Inc
Spectro Scientific Inc
Spectrol Electronics Corporation
Spectrolab Inc
Spectronics Corporation
Spectrum Astro Inc
Spectrum Brands Inc
Spectrum Brands Inc ( FKA Rayovac Corporation)
Spectrum Concepts Inc
Spectrum Control Inc
Spectrum Conversion Inc
Spectrum Illumination Co Inc
Spectrum Medical Industries Inc
SpeechCycle Inc
Speed Control Inc
Speed Queen Company
SpeedFam-IPEC Corporation
Speedfam Corporation
Speedline Technologies Inc
Speizman Industries Inc
Spellman High Voltage Electronics Corporation
Spencer & Associates Inc
Spencer Wright Industries Inc
Sperian Eye & Face Protection Inc
Sperian Eye & Face Protection Inc a Delaware corporation
Sperian Hearing Protection LLC
Sperry Corporation
Sperry Marine Inc
Sperry Rail Inc
Sperry Rand Corporation
Sphere Biosystems Inc
Sphere Connections Inc
Sphero International Company
Spicer Driveshaft Inc
Spicer Technology Inc
Spider Environmental Inc
Spike's Tactical LLC
Spin Clean Products LLC
Spin Physics Inc
SpinDynamics Inc
SpinTek Filtration Inc
Spinal Cord Society
Spine-Tech Inc
Spinheat Ltd
Spinmotor Inc 
Spintech Inc 
Spintek Systems LP
Spirent Communications of Rockville Inc
Spireon Inc
Spirit AcroSystems Inc
Spirit Global Energy Solutions Inc
Spirit International Inc
Splined Tools Corporation
Splunk Inc
Spokane Industries Inc
Sport Fun Inc
Sportech Inc
Sportfolio Inc
Sports Wheels Inc 
Sprague Devices Inc
Sprague Electric Company
Spraying Systems Co
Spraylat Corp
Spraylat Corporation Inc
Sprayrite Manufacturing Co
Spread Spectrum
Spreadtrum Communications Inc
Spreadtrum Communications USA
Spring City Electrical Manufacturing Company
Spring Valley Associates
SpringWorks LLC
Springs Industries Inc
Springsoft Inc
Sprint Communications Company LP
Sprint Recovery Systems Inc
Sprint Spectrum LP
Sprinter System of America Ltd
Spronz Incinerator Corp
Sputtered Films Inc 
Spyderco Inc
Spyglass Inc
Square D Company 
Square Inc
Square One Technology Inc
Square Zero Inc
Squaw-Fleet LLC
St Clair Intellectual Property Consultants Inc
St Denis Manufacturing Co
St Elizabeth's Medical Center of Boston Inc 
St Francis of Assisi Foundation
St Joseph's Children's Hospital
St Jude Children's Research Hospital
St Jude Medical Atrial Fibrillation Division Inc
St Jude Medical Inc
St Louis Designs Inc
St Louis Diecasting Corporation
St Louis University 
St Luke's Hospital
St Microelectronics Inc
Sta-Rite Industries LLC
Stabatrol Corporation
Stablcor Technology Inc
Staccato Systems Inc
Stackhouse Associates
Stackpole Carbon Company
Stackpole Components Company
Stackpole Fibers Company Inc
Staclean Diffuser Company
Staco Switch Inc 
Staefa Control System SCS AG 
Stafast Products Inc
Staff Lighting Corporation
Stahl International BV
Stahls' Inc
Stained Glass Overlay Inc
Stainless Equipment Company
Stainless Motors Inc
Stainless Steel Coatings Inc
Staktek Corporation
Stamper Technology Inc
StampsCom
Stampscom Inc
Stan-Tech
Stanadyne Automotive Corp
Stanadyne Corporation
Stanadyne Inc
Standard Bearer Machines LLC
Standard Brands Incorporated
Standard Havens Inc
Standard Microsystems Corporation
Standard Oil Co (Indiana)
Standard Oil Commercial Development Company
Standard Oil Company (Indiana)
Standard Oil Company a corporation of Indiana
Standard Parking Corporation
Standard Telephones and Cables plc
Standard-Thomson Corporation
Standex International Corporation
Stanford Research Institute
Stanford Telecommunications Inc 
Stanford University
Stanhope Products Company
Stanley Automatic Openers
Stanley Black & Decker Inc
Stanley Electric Co Ltd
Stanley-Bostitch Inc
Stant Inc
Stant Manufacturing Inc
Stanton Advanced Ceramics Inc
Staodyn Inc
Star Beam Inc
Star Binding & Trimming Corp
Star Cryoelectronics
Star Enterprise
Star Headlight & Lantern Co Inc
Star Medical Technologies Inc
Star Recycling Inc
Star Sprinkler Corporation
Star Technologies Inc
Star-Kist Foods Inc
Star-Reach Corporation
StarRoter Corporation
StarRotor Corportion
Starchem Technologies Inc
Stardust Boardwerks LLC
Starfire Electronic Development & Mktg Ltd
Starfire Industries LLC
Starfire Systems Inc
Starfish Software Inc
Starkey Laboratories Inc
Starkey Labs Inc 
Starlight Energy Holdings LLC
Starlite Led Inc
Starsource Scientific LLC
State Industries Inc
State University Virginia Tech Intellectual Properties Inc
State University of New York
State University of New York at Stony Brook
State of Oregon acting by and though the State Board of Higher Education on behalf of Oregon State University
State of Oregon acting by and through The Oregon State Board of Higher Education on behalf of Oregon State Univeristy
State of Oregon by and through the State Board of Higher Education on behalf of Oregon State University
State of the Art Inc
Static Control Components Inc
Statics Inc
Stats Chippac Inc
Stauffer Chemical Co
Stauffer Management Company
Staunton Capital Incorporated
Staystik Inc
Steag Cutek Systems Inc
Steag RTP Systems Inc
Stealthdrive Inc
Steam Systems and Service Incorporated
Stearns Inc
Stearns Technologies Inc 
Stecher Proprietary Interests
Steel City Corp
Steel Heddle Mfg Co
Steelcase Development Corporation
Steelcase Inc
Steelite Inc
Steen Research LLC
Steering Solutions IP Holding Corporation
Stein & Co GmbH
Stein Hall & Co Inc
Stein Inc 
Stein Industrie
Stellar Micro Devices
Stellar One Corporation 
Stellar Photonics LLC
Stellarton Technologies Inc
Stellenbosch University
Stelulu Technology Inc
StemCyte Inc
Step Saver Inc
Stepan Company
Sterassure Solutions LLC
Stereo Display Inc
Stericycle Inc
Sterile Technology Industries Inc 
Steris Corporation
Steris Inc
Steritech Inc
Sterling Air & Water Corporation
Sterling Diagnostic Imaging Inc 
Sterling Drug Inc
Sterling Planet Inc
Sterling Software Inc
Sterling Suma Ltd
Sterling Winthrop Inc
Stern & Stern Industries Inc
Sternberg Lanterns Inc
Sternberg Lighting
Sterrenbeld Biotechnologie North America Inc
Stevens Institute of Technology
Steward Inc
Steward Plastics Inc
Stewardship Water & Gas Co
Stewart & Stevenson Inc
Stewart & Stevenson LLC
Stewart Connector Systems Inc
Stewart E Erickson Construction Inc
Stewart Hall Chemical Co
Stewart Water Solutions Ltd
Stewart-Naumann Laboratories Inc
Stewart-Warner Corporation
Steyphi Services DE LLC
Steyr-Daimler-Puch AG
Stichting Energieonderzoek Centrum Nederland
Sticky Business LLC
Stiefel Laboratories Inc
Stine Biotechnology
Stinger Industries LLC
Stir-Melter Inc
Stirling Technology Company
Stirling Thermal Motors Inc
Stobb Inc
Stock Equipment Company
Stockhausen Inc
Stoffel Seals Corporation
Stokes Bio Limited
Stolle Research & Development Corporation
Stoller Works Inc
Stone & Webster Engineering Corp
Stone & Webster Process Technology Inc
Stone Container Corp
Stone Industry Recycling Inc
Stone-Consolidated (US) Corporation 
Stoneburg Manufacturing Inc
Stonehart Associates Inc
Stoneridge Inc
Stony Brook Technology and Applied Research
StorMedia Inc 
Stora Enso Oyj
Storage Technology Corporation
Storage Technology Partners II
Stored Energy Systems
Stored Energy Systems a Limited Liability Company
Storm Water Systems Inc 
StormTrap LLC
Stormtreat Systems Inc
Stormwater Management
Stormwater Treatment LLC
Stoughton Composites Inc 
Stowers Institute for Medical Research
Strabo Pro Productions Inc
Straight Line Filters Inc
Strandera Corporation
Strang Cancer Prevention Center
Strasbaugh
StrataLight Communications Inc
Stratagene 
Stratagene California
Stratagene La Jolla California
Stratasense LLC
Stratasys Inc
Strategic American Markets Inc
Strategic Design Federation W Inc
Strategic Diagnostics Inc
Strategic Environmental & Energy Resources Inc
Strategic Environmental Solutions LLC
Strategic Pharmaceutical Solutions Inc
Strategic Solar Energy LLC
Strategyn Inc
Stratis Corporation
Stratom Inc
Stratos International Inc
Stratos Lightwave
Streamlight Inc
Streamline Automation LLC
Streamline Capital Inc
Streamsage Inc
Streck Laboratories Inc 
Stren Company
Stress Photonics Inc
Stretch Inc
Stribling Systems Inc
Stride Manufacturing LLC
Stride Tool Inc
StrionAir Inc
Stripping Technologies Inc
Stri{dot over (o)}nAir Inc
Stromagene Corporation 
Stromberg-Carlson Corporation
Structural Design Engineers
Structural Graphics Inc
Structural Instrumentation Inc
Structural Plastics Inc
Structured Materials Industries Inc
Stryker Instruments
Stuart Entertainment Inc 
Stuart Schecter LLC
Stucco Molding Inc
Studley Paper Company Inc
Studsvik Inc
Sturman Industries Inc
Su-Kam Intelligent Education Systems Inc
SuVolta Inc
Sub-Q Inc
Sub-Zero Inc
Subaqueous Services Inc
Subsidiary No 3 Inc
Substrate Technologies Incorporated
Subtex Inc
Suburban Manufacturing Company
Sud-Chemie Hi-Tech Ceramics Inc
Sud-Chemie HiTech Inc
Sud-Chemie Inc
Sud-Chemie Prototech Inc
Suganit Systems Inc
Suiken Co Ltd
Sulas Industries Inc
Sullair Corporation
Sullivan Inc
Sulo Enterprises
Sultan Dental Products Inc
Sulzer Biologics Inc
Sulzer Brothers Limited
Sulzer Carbomedics Inc
Sulzer Intermedics Inc 
Sulzer Metco (US) Inc
Sulzer Orthopedics Ltd
Sumco Corporation
Sumcorp LLC
Sumitomo (SHI) Cryogenics of America Inc
Sumitomo Electric Device Innovations Inc
Sumitomo Electric Industries Ltd
Sumitomo Electric Wiring Systems Inc
Sumitomo Pharmaceuticals Company Limited
Sumitomo Rubber Industries Ltd 
Summa Medical Corporation
Summagraphics Corporation
Summit ESP LLC
Summit Engineering Company
Summit Microelectronics Inc
Summit World Trade Corp
Sumnett Corporation
Sumter Transport Inc
Sun Catalytix Corporation
Sun Chemical Corporation
Sun Coast Plastics Inc
Sun Coatings Inc
Sun Company Inc (R&M)
Sun Drilling Products Corporation
Sun Drum Solar LLC
Sun Electric Corporation 
Sun Microsystems Inc
Sun Oil Company (Delaware)
Sun Oil Company of Pennsylvania
Sun Patent Trust
Sun Powered Inc
Sun River Innovations Ltd
Sun Synchrony
Sun Tech Energy Corporation
Sun Tech Inc
Sun Unlimited Research Corporation
Sun Ventures Inc
Sun Wise Inc
Sun-Flex Company
Sun-Flex Company Incorporated
Sun-Maid Growers of California
SunCulture Solar Inc
SunEdison Inc
SunEdison Semiconductor Limited
SunJoule Materials Inc
SunMan Engineering Inc
SunPower Corporation
SunRun Inc
SunSave Inc
Sunagra Research
Sunbeam Corporation
Sunbeam Products Inc
Sunburst Excavation Inc 
Sunburst Laboratories Inc
Sunburst Recovery Inc
Sunburst Solar Energy Inc
Suncall Corporation
Suncast Corporation
Sunclipse Inc
Suncor Inc
Suncore Photovoltaics Incorporated
Sundance Spas Inc
Sundew Technologies LLC
Sundiode Inc
Sundowner Offshore Services Inc
Sundrop Fuels Inc
Sundstrand Corp
Sundstrand Corporation
Sundstrand Data Control Inc
Sunesis Pharmaceuticals Inc
Sungene Technologies Corporation
Sungenetics Inc
Sungkyunkwan University Foundation for Corporate Collaboration
Suniva Inc
Sunkist Growers Inc
Sunlight Photonics Inc
Sunlite Plastics Inc
Sunmodo Corporation
Sunnen Products Company
Sunnovations LLC
Sunnybrook Health Sciences Centre
Sunoco Inc (R&M)
Sunovia Energy Technologies Inc
Sunpower Systems Corporation
Sunpower Systems Inc
Sunpure Ltd
Sunrise Medical HHG Inc
Sunrise Technologies International Inc
Sunrise Telecom Inc
Sunriver Corporation
Sunsearch Inc
Sunset Ltd
Sunshell LLC
Sunshine Raisin Corporation
Sunstone Corporatioin
Suntech Enterprises
Sunvelope Solar Inc
Sunwall Incorporated
Sunwood Energy Systems Inc
Supelco Inc
Super Epitaxial Products Inc
Super Micro Computer Inc
Super Products Corporation
Super Sack Manufacturing Corp
Super Sack Mfg Corp
Super Sweet Air Inc
Super Talent Electronics Inc
Super Vision International Inc
Super-Truss Building Systems Inc
SuperTex Inc
Superba
Supercomputer Systems Limited Partnership
Superconducting Core Technologies Inc
Superconductor Technologies Inc
Supercritical Systems Inc
Superex Polymer Inc
Supergen Inc 
Superior Communication Products Inc 
Superior Communications Inc
Superior Continental Corporation
Superior Electron LLC
Superior Fiberglass Inc
Superior Fireplace Company
Superior Graphite Co
Superior Handling Equipment Inc
Superior Technical Ceramics Inc
Superior Workshop Tool Company 
Superlite Technology Co
Supernus Pharmaceuticals Inc
Superpower Inc
Supersonie Aerospace International LLC
Superspine
Supra Products Inc
Supreme Associates
Supremex Inc
Suprex Corp
Sur-LocTM Inc
SurModics Inc
Suratco Products Company
Sure Seal Inc
SureFire LLC
Surebeam Corporation
Surf Air Conditioning Inc
Surf-Jet Corporation
SurfaTech Corporation
Surface Coatings Inc
Surface Combustion Inc
Surface Engineering Technologies Division of Innerdyne Inc
Surface Genesis Inc
Surface Logix Inc
Surface Science Corp
Surface Technology Inc
Surface Treatment Technologies Inc
Surfango Inc
Surge Power Corporation 
Surgeonics Limited
SurgiQuest Inc
Surgical Site Solutions Inc
Surgikos Inc
Surgix Inc
Surmodics Pharmaceuticals Inc
Suros Surgical Systems Inc
SurroMed Inc
SurroMed LLC
Surtec Industries Inc
Survival Engineering Inc
Survival Technology Inc
Surx Inc
Suspa Incorporated
Sussex Plastics Inc
Sustainable Alternative Feed Enterprises
Sustainable Energy Solutions LLC
Sustainable Energy Technology Development Trust
Sustainable Structures LLC
Sustained Nano Systems LLC
Suterra LLC
Sutro Biopharma Inc
Sutter Bay Hospitals
Sutter Instrument Company
Sutter Products Company
Sutter West Bay Hospitals
Suyin Corporation
Svedala Industries Inc
Swagelok Company
Swagelok Marketing Co
Swales & Associates Inc
Swan Magnetics Inc 
Swanco
Swarmcast Inc
Swartz Group LLC
Sweet Beet Incorporated
Sweetheart Cup Company Inc
Sweetwater Energy Inc
Sweetwater Inc
Swift Beef Company
