patent_id,year,num_citations,weighted_cites_5yrs
9228180,2016,1,0
9228205,2016,1,0
9228208,2016,7,1
9228697,2016,2,0
9228974,2016,1,0
9229964,2016,23,3
9230647,2016,1,0
9230793,2016,1,0
9230799,2016,1,0
9230979,2016,16,21
9230980,2016,5,4
9230987,2016,21,9
9230989,2016,2,0
9230996,2016,1,0
9230998,2016,1,1
9231002,2016,1,0
9231029,2016,2,1
9231052,2016,1,0
9231066,2016,1,0
9231070,2016,1,0
9231096,2016,1,0
9231129,2016,1,0
9231132,2016,1,0
9231145,2016,1,0
9231169,2016,1,0
9231201,2016,1,0
9231223,2016,3,3
9231518,2016,2,0
9231519,2016,1,0
9232290,2016,4,0
9232776,2016,2,0
9232813,2016,1,0
9233072,2016,5,0
9233110,2016,1,0
9233131,2016,1,0
9233366,2016,1,0
9233746,2016,3,3
9233845,2016,1,0
9234013,2016,1,0
9234033,2016,15,43
9234075,2016,1,0
9234084,2016,1,0
9234106,2016,2,0
9234125,2016,4,0
9234167,2016,1,0
9234213,2016,5,0
9234224,2016,1,0
9234227,2016,1,0
9234277,2016,2,0
9234280,2016,1,0
9234501,2016,3,2
9234633,2016,2,0
9234872,2016,1,0
9234882,2016,1,0
9235236,2016,12,3
9236162,2016,1,0
9236169,2016,3,0
9236197,2016,1,0
9236297,2016,9,19
9236305,2016,1,0
9236309,2016,1,0
9236310,2016,1,0
9236335,2016,1,0
9236385,2016,2,1
9236395,2016,2,0
9236396,2016,8,2
9236405,2016,1,0
9236412,2016,2,4
9236432,2016,2,1
9236444,2016,1,0
9236456,2016,4,1
9236460,2016,7,1
9236461,2016,1,0
9236473,2016,1,0
9236485,2016,1,0
9236505,2016,1,0
9236513,2016,2,0
9236515,2016,1,0
9236516,2016,1,0
9236524,2016,4,2
9236526,2016,1,0
9236552,2016,1,1
9236572,2016,1,0
9236575,2016,1,1
9236637,2016,1,0
9236638,2016,1,0
9237606,2016,1,0
9238038,2016,1,0
9238091,2016,1,0
9238353,2016,1,0
9238354,2016,14,5
9238505,2016,1,1
9238674,2016,6,2
9238806,2016,1,0
9238822,2016,3,0
9238827,2016,1,0
9238835,2016,2,0
9238845,2016,1,1
9239284,2016,1,0
9239417,2016,2,0
9239484,2016,1,0
9240221,2016,1,1
9240222,2016,1,0
