"lookup_firm","mean_i2017y"
"Dana",10.9163568773234
"Dana-Farber Cancer Institute",7.84738955823293
"Danisco US",0.972477064220184
"Daylight Solutions",11.1944444444444
"DCG SYSTEMS",20.1617647058824
"DECA Technologies",7.39130434782609
"Deep Science",0.0526315789473684
"Deep Well Power",0
"DEKA Products Limited Partnership",28.2745098039216
"Delavau",6.13333333333333
"Dell Software",1.42953020134228
"Delphi Technologies",8.59565563969709
"Delta Electronics",4.01765030336459
"Denso",5.71087533156499
"Dentsply",4.98823529411765
"Deployable Space Systems",2
"DePuy Synthes Products",2.19907834101382
"Dermazone Solutions",2.16666666666667
"Dexerials",0.511111111111111
"DHPC TECHNOLOGIES",0
"Dialight",19.1578947368421
"Dialogic",12.8153846153846
"Diamicron",41.7906976744186
"Diamond Innovations",5.12987012987013
"DIC",13.9124343257443
"Digital Wind Systems",0.2
"DiscoveRx",1.6
"DISCOVERYBIOMED",0
"Disney Enterprises",3.5479797979798
"DNA Twopointo",1.75
"DNA20",22.7435897435897
"Dogwood Pharmaceuticals",17.1904761904762
"Dolby Laboratories Licensing",9.54065934065934
"Domtar Paper Company",0
"Dongbu Hitek Co",1.18372093023256
"Dow AgroSciences",3.1829134720701
"Dow Corning",13.8169934640523
"Dow Global Technologies",3.76372509150061
"Dow Technology Investments",0.538461538461538
"DPD",21.4761904761905
"DPx Holdings BV",0
"Dr Reddy's Laboratories",0.64
"Dresser-Rand Company",6.38245614035088
"DRS Network &#x26; Imaging Systems",0.25
"DSP Group",12.411214953271
"DuPont Teijin Films US Limited Partnership",2.48484848484848
"Dymax",14.5102040816327
"Dynamic Solutions Worldwide",0
"E I du Pont de Nemours and Company duPont Displays",8.5
"E Ink",96.5638629283489
"E Techorporation",2.33333333333333
"Easel Biotechnologies",0.333333333333333
"Eastman Chemical Company",10.4455147501505
"Eastman Kodak Company",13.7872209318861
"Eaton",11.7254207263065
"Echogen Power Systems",7.125
"EchoStar Technologies",3.02147239263804
"Ecolab",11.1826024442847
"ECOSYNTHETIX",7.30769230769231
"Ecovative Design",0.375
"Egenera",9.125
"Eisai Co",7.58510638297872
"ELC Management",1.31210191082803
"Elcriton",0
"ElectraTherm",6.92
"Electrix",2.57142857142857
"Electronic Warfare Associates",15.9473684210526
"Electrovaya",18
"Element One",0.333333333333333
"Elenion Technologies",0.2
"Elwha",0.973372781065089
"Em-Tech",4.25
"Embro",16.7073170731707
"EMC",15.9019798136646
"EMD Technologies",29.9179104477612
"Empire Technology Development",0.825089605734767
"Energen",2.41176470588235
"ENERGY ENGINEERING SYSTEMS",1
"ENERGY INDEPENDENCE OF AMERICA CORP",0
"Energysolutions",0.727272727272727
"Enginuity Worldwide",0.5
"Englewood Lab",0.5
"ENI SpA",2.41630901287554
"ENI Technology",12.9
"eNow",10
"Ensyn Renewables",5.36
"Entech Solar",0.25
"Entegris",4.69553072625698
"Envision Solar",2.66666666666667
"Envisionit",3.46666666666667
"EPCOS AG",3.85737704918033
"Epizyme",5.14516129032258
"ESCAPE THERAPEUTICS",0.3
"eSionic Corp",0
"Esolar",2.4
"Ethicon Endo-Surgery",128.676702862784
"Ethox Chemicals",6.1
"Evernote",2.5
"Everspin Technologies",2.97311827956989
"Evoqua Water Technologies",0.735632183908046
"Evri",19
"Exatec",5.12765957446809
"Excelsior Nanotech",0
"EXOS",0.25
"Express Imaging Systems",5.44736842105263
"Extech/Exterior Technologies",7.78947368421053
"ExxonMobil Chemical Patents",5.1650021710812
"ExxonMobil Research and Engineering Company",4.3159073935773
"ExxonMobil Upstream Research Company",7.86574654956085
"Facebook",3.19219219219219
"Fairchild Semiconductor",12.7352697095436
"FastCAP Systems",1.3
"Faurecia Interior Systems",1.66129032258065
"Federal Signal",16.2978723404255
"FEI Company",6.06818181818182
"Fenwal",1.9609375
"Ferric",7.44444444444444
"Ferro",10.895
"Fezza Family Properties",0.5
"FHT",12.1
"Fianium",1.75
"Fike",9.61137440758294
"Fina Technology",8.68272425249169
"Finisar",6.48273215656178
"First Solar",4.28571428571429
"Flextronics AP",3.19154929577465
"FLIR Systems",5.41333333333333
"Floadia",0
"FLOW CONTROL",0.125
"Fluidigm",23.5538461538462
"Ford Global Technologies",6.37527383560339
"Forest Concepts",2.90322580645161
"Foret Plasma Labs",12.0769230769231
"Formula Plastics",1
"FPInnovations",0.678571428571429
"Freescale Semiconductor",4.51906052393857
"FRONT EDGE TECHNOLOGY",17.6086956521739
"Fuji Electric Co",5.22756914774005
"Fuji Xerox Co",6.47913365029054
"FUJIFILM",1.94975476839237
"FUJIFILM Dimatix",2.3013698630137
