count(p.id),lookup_firm
2,"Global Solar Water Power Systems"
3684,GLOBALFOUNDRIES
507,"Globus Medical"
1,"Glucan Biorenewables"
11,GLYCON
11123,"GM Global Technology Operations"
30,"GOAL ZERO"
267,"GOJO Industries"
69,GOLBA
14372,Google
935,"GOOGLE TECHNOLOGY HOLDINGS"
1,GOSOLARLIFE
19,"GR Intellectual Reserve"
74,Gracenote
132,"Grain Processing"
2,"Gram Power"
119,Grandis
1,"Graphene Technologies"
3,"Great American Duck Races"
396,Greatbatch
1,"Green Box Batteries"
2,"Green Extraction Technologies"
3,"Green Solar Transportation"
2,"GREENFIELD MASTER IPCO LIMITED"
2,"GREENHILL ANTIBALLISTICS"
6,"Greyrock Energy"
1,"GROW ENERGY"
865,Gtech
4,GTherm
727,"Guardian Industries"
26,"Gula Consulting Limited Liability Company"
120,"H R D"
134,"Hadasit Medical Research Services & Development Company"
178,"Haier US Appliance Solutions"
5308,"Halliburton Energy Services"
1617,"HAMAMATSU PHOTONICS KK"
1752,"Hamilton Sundstrand"
2,"Handstand Innovations"
73,Handylab
787,"HARMAN INDUSTRIES"
3322,Harris
1005,"Headway Technologies"
1,"Heat Seal"
2150,"Heidelberger Druckmaschinen AG"
73,"Heliae Development"
2,"Helios Focus"
720,"Henkel AG & Co KGaA"
20,"Heraeus Precious Metals North America Conshohocken"
731,"Hewlett Packard Enterprise Development LP"
21017,"Hewlett-Packard Development Company LP"
136,"Hewlett-Packard Indigo BV"
976,"HGST NETHERLANDS BV"
5,"HIQ SOLAR"
38517,Hitachi
2384,"Hitachi High-Technologies"
1628,"Hitachi Metals"
3,"HM&#xb3; ENERGY"
12,"HNO Greenfuels"
73,"Hollingsworth & Vose Company"
1,"Hollywood Trucks"
17936,"Hon Hai Precision Industry Co"
12026,"Honda Motor Co"
13972,Honeywell
640,Hosiden
85,"HOWARD INDUSTRIES"
2207,Hoya
1166,"HRL Laboratories"
1683,HTC
18,HTS
35,Humanetics
25,"Hunt Energy Enterprises"
550,"Hunter Douglas"
6241,"Hynix Semiconductor"
36,Hysitron
5826,"Hyundai Motor Company"
100,"IBC Pharmaceuticals"
16,iBio
87,"Ibis Biosciences"
1,"IDEA TREE"
40,"Ideal Power"
8,IDEALAB
37,"IDEX Health &#x26; Science"
120,"Ignis Innovation"
55,II-VI
188,"III HOLDINGS 1"
4933,"Illinois Tool Works"
218,IMDS
527,IMEC
33,Immunolight
17,"Immunopath Profile"
106,"Imperial Innovations Limited"
263,"IMRA America"
24,"Inaeris Technologies"
1,iNanoBio
107,Incept
50,"Incyte Holdings"
45,"Industrial Origami"
6,"Industrial Science & Technology Network"
1,"Industrial Solar Heating Systems"
6825,"Industrial Technology Research Institute"
13,INENTEC
11548,"Infineon Technologies AG"
149,"Infineon Technologies Americas Corp"
418,Infinera
148,"INFINEUM LIMITED"
402,Innolux
35,Innovalight
3,"Innovation Hammer"
2,Inphenix
271,Instron
1025,"Integrated Device Technology"
47,"Integrated DNA Technologies"
11,"Integrated Nano-Technologies"
2,"Integrated Solar Technology"
33603,Intel
442,"INTEL IP"
6,"Intellectual Keystone Technology"
118,"Intercontinental Great Brands"
162,Interez
3,"Interface Performance Materials"
719,Intermolecular
111916,"International Business Machines"
50,"International Technology"
241,INTEVAC
2,"Intrexon CEU"
1,IntriEnergy
635,"Intuitive Surgical Operations"
314,Invensas
11,"Inventus Holdings"
17,"InView Technology"
67,"InVisage Technologies"
307,"INVISTA North America Sarl"
26,Iogen
4,"Ion Power Group"
1112,"Isis Pharmaceuticals"
20,"ITN Energy Systems"
288,"Ivoclar Vivadent AG"
2,"J E WHITE"
102,"JAC Products"
125,"Janssen Biotech"
551,"JFE STEEL"
489,JNC
536,"Johns Manville"
354,"Johnson & Johnson Consumer Companies"
748,"Johnson &#x26; Johnson Vision Care"
1062,"Johnson Controls Technology Company"
246,"Johnson Matthey PLC"
301,JOLED
26,"Joule Unlimited Technologies"
2,"JSI Equipment Solutions"
1023,JSR
254,"JX Nippon Mining & Metals"
6,"k-Space Associates"
9,"KS CO"
26,"Kabushiki Kaisha Eighting"
46385,"Kabushikikaisha Toshiba"
22,"KAI Pharmaceuticals"
142,Kajima
19,"Kala Pharmaceuticals"
52,Kamtec
1152,Kaneka
583,"Kansai Paint Co"
89,Kansei
6281,Kao
853,"Karsten Manufacturing"
2,"Kashiv Pharma"
1914,"Kawasaki Jukogyo Kabushiki Kaisha"
150,"Kemira OY"
93,Kerr
1595,"Kia Motors"
4441,"Kimberly-Clark Worldwide"
20,"Kinestral Technologies"
1,"Kinetech Power Company"
1,"King Electric Vehicles"
10,KINO
4,Kiverdi
1,"KJ BIOSCIENCES"
944,KLA-Tencor
1213,"Kobe Steel Limited"
3,"Koch Biological Solutions"
115,"Kodak Alaris"
35,"KOLO TECHNOLOGIES"
208,"KOLON INDUSTRIES"
208,"Korea Kumho Petrochemical Co"
1,"KR Design House"
154,"Kraton Polymers US"
50,Kronos
1,"kSep Systems"
1677,KT
3,KUBIX
329,"Kulite Semiconductor Products"
238,Kureha
2373,"KYOCERA DOCUMENT SOLUTIONS"
17,"L-3 Communications Cincinnati Electronics"
3,"Lake Lite"
2283,"Lam Research"
50,Landauer
10,"Laserline Mfg"
2,"LATITUDE PHARMACEUTICALS"
657,"Lattice Semiconductor"
1,"LAVA ENERGY SYSTEMS"
737,"Lawrence Livermore National Security"
14,"Lehigh Technologies"
247,"Lextar Electronics Corp"
2,"LG Bionano"
5766,"LG Display Co"
24264,"LG Electronics"
5,"LG NANOH2O"
26,"LGS Innovations"
894,"Life Technologies"
24,"LifeNet Health"
1,"Linne Industries"
564,Lintec
22,"Lion Copolymer Geismar"
1,"LIQUID X PRINTED METALS"
14,"Liquidia Technologies"
20,"Litron Laboratories Limited"
14,"Little Kids"
33,Livetv
4355,"Lockheed Martin"
9,"Locus Energy"
2,"Lof Solar"
17,"Longhorn Vaccines and Diagnostics"
1,"LORDO AMERICA"
491,"Los Alamos National Security"
5,"Lovelace Respiratory Research Institute"
1,"LUCERA LABS"
8,Lumenco
58,"Lumentum Operations"
64,"Luna Innovations"
3,"Lux Bio Group"
20,"Lyotropic Therapeutics"
16,Ma-West
2762,"Macronix Co"
325,Magna
314,"Magnachip Semiconductor"
7,"Magnolia Optical Technologies"
8,"Magnolia Solar"
684,MAHLE
85,"Mainstream Engineering Corp"
702,Mallinckrodt
1,"Manta Instruments"
91,"MANUFACTURING RESOURCES"
25,"Marathon Equipment Company"
1,"Marine Biotech"
32,"Marine Polymer Technologies"
329,Markel
3,"Masimo Semiconductor"
33,Materia
3,"MATERIALS ANALYSIS TECHNOLOGY (US) CORP"
6,"Matrix Genetics"
1,"Matrix Odyssey"
154,"Mattson Technology"
960,"Maxim Integrated Products"
290,MAXLINEAR
6,"Maxout Renewables"
11,"MBC Ventures"
144,"McAlister Technologies"
18,"McElroy Manufacturing"
524,MCI
14,"Medgenics Medical Israel"
2439,Mediatek
61,"Medical Diagnostic Laboratories"
61,"Medicis Pharmaceutical"
32,MEDport
548,"Medtronic Vascular"
1697,"Merck Patent"
1247,"MERCK SHARP & DOHME CORP"
69,"Meso Scale Technologies"
6,"Met Tech"
149,Metabolix
9,"Meyer Tool"
1948,"Michelin Recherche et Technique SA"
44,"Michigan Biotechnology Institute"
1,"Micro Cooling Concepts"
658,"Microchip Technology"
2,"Microchips Biotech"
14,MicroContinuum
16,"MicroLink Devices"
24867,"Micron Technology"
31,"Microsemi SoC"
5903,"MICROSOFT TECHNOLOGY LICENSING"
59,Microsurge
3,"Midori USA"
76,"Midrex Technologies"
1,"MIETAMARK GENETICS"
2,"MILLENIUM SYNTHFUELS"
839,"Milliken & Company"
1106,"Minebea Co"
182,Mintera
25,MirTech
2,"Mission Product Holdings"
6561,"Mitsubishi Electric"
2019,"Mitsubishi Metal"
212,"Mitsubishi Polyester Film"
195,"Molecular Imprints"
12,"Molecular Rebar Design"
872,"Momentive Performance Materials"
3,"Monarch Power Corp"
8,"Monolithe Semiconductor"
59,MonoSol
4139,"Monsanto Technology"
13,"MONTEREY RESEARCH"
183,Morpho
103,Moxtek
1,Mumetel
5331,"Murata Manufacturing Co"
222,Musco
358,mVerify
386,"Nalco Company"
17,Nanao
1,"NANO CELL SYSTEMS"
2,"Nano Technics Company"
10,NANOBIO
49,"Nanoco Technologies"
5,nanoComposix
1,Nanocopocia
84,NanoGram
10,Nanoholdings
17,NanoLab
27,NanoMech
40,Nanomix
1,NanoOncology
8,NANOPHARMACEUTICALS
1,NANOPHTHALMICS
5,"Nanoquantum Sciences"
4,"Nanoridge Materials"
3,"Nanospectra Biosciences"
4,Nanostatics
163,Nanosys
2,"Nanotech Biomachines"
1,"NanoTech Lubricants"
155,"Nanotek Instruments"
162,"Nant Holdings IP"
245,Nantero
4,"National Education"
40,"Nationwide Children's Hospital"
17,"NCC Nano"
26979,NEC
534,"Nederlandse Organisatie voor toegepast-natuurwetenschappelijk onderzoek TNO"
57,NeoPhotonics
10,NeoVision
2132,"Nestec S A"
1502,NetApp
7,Neumedicines
13,"NeuMoDx Molecular"
3,"Neural Signals"
3,"Neutronic Perpetual Innovations"
252,"New England Biolabs"
5,"New Technology Ventures"
5,"Newdoll Enterprises"
1,"NEWFIELD THERAPEUTICS"
14,Newlans
118,Newport
50,"Nexcom Technology"
2071,"NGK Spark Plug Co"
1987,NICHIA
7491,Nikon
106,"Nippon Chemi-Con"
1485,"Nippon Shokubai Co"
8327,"Nissan Motor Co"
427,"Nissan North America"
29,nLIGHT
334,"NLT TECHNOLOGIES"
799,NOK
8361,Nokia
1522,"Nokia Technologies Oy"
16,Nokomis
7,"Nordic Technologies"
1420,Nordson
524,"Northrop Grumman Systems"
13,"Northwest Biotherapeutics"
187,"NOVA Chemicals (International) SA"
2,"NOVA PANGAEA TECHNOLOGIES LIMITED"
78,"Nova Technologies"
2837,"Novartis AG"
2,NovaSolix
913,"Novellus Systems"
32,Novon
