year(min(p.`date`)),lookup_firm
2011,GeoSynFuels
2016,"GEOTHERMAL ENERGY PROJECT"
2002,"Gestion Ultra"
2017,"GIGA SOLAR FPC"
2013,"Gilead Biologics"
2011,"Gilead Connecticut"
1992,"Gilead Sciences"
2014,"GlassPoint Solar"
2004,"GlaxoSmithKline Biologicals SA"
2014,GLIKNIK
2016,"Global Eagle Entertainment"
2012,"Global Filtration Systems"
2010,"Global OLED Technology"
2014,"Global Solar Water Power Systems"
2009,GLOBALFOUNDRIES
2004,"Globus Medical"
2016,"Glucan Biorenewables"
1998,GLYCON
2006,"GM Global Technology Operations"
2009,"GOAL ZERO"
1977,"GOJO Industries"
2008,GOLBA
2003,Google
2014,"GOOGLE TECHNOLOGY HOLDINGS"
2016,GOSOLARLIFE
2007,"GR Intellectual Reserve"
2007,Gracenote
1976,"Grain Processing"
2015,"Gram Power"
2004,Grandis
2016,"Graphene Technologies"
2005,"Great American Duck Races"
2005,Greatbatch
2016,"Green Box Batteries"
2016,"Green Extraction Technologies"
2013,"Green Solar Transportation"
2016,"GREENFIELD MASTER IPCO LIMITED"
2015,"GREENHILL ANTIBALLISTICS"
2014,"Greyrock Energy"
2016,"GROW ENERGY"
1976,Gtech
2015,GTherm
1979,"Guardian Industries"
2011,"Gula Consulting Limited Liability Company"
1998,"H R D"
1992,"Hadasit Medical Research Services & Development Company"
2016,"Haier US Appliance Solutions"
1993,"Halliburton Energy Services"
1988,"HAMAMATSU PHOTONICS KK"
2000,"Hamilton Sundstrand"
2015,"Handstand Innovations"
2003,Handylab
1976,"HARMAN INDUSTRIES"
1976,Harris
1997,"Headway Technologies"
2016,"Heat Seal"
1978,"Heidelberger Druckmaschinen AG"
2011,"Heliae Development"
2014,"Helios Focus"
2008,"Henkel AG & Co KGaA"
2013,"Heraeus Precious Metals North America Conshohocken"
2015,"Hewlett Packard Enterprise Development LP"
2003,"Hewlett-Packard Development Company LP"
2003,"Hewlett-Packard Indigo BV"
2012,"HGST NETHERLANDS BV"
2016,"HIQ SOLAR"
1976,Hitachi
2003,"Hitachi High-Technologies"
1976,"Hitachi Metals"
2015,"HM&#xb3; ENERGY"
2013,"HNO Greenfuels"
