"lookup_firm","mean_cd2017y"
"BP North America",0.0393385425555556
"Braun Intertec Geothermal",0
"Brewer Science",0.0608569248648649
"Bridgelux",0.0607669661170213
"Bridgestone",0.106118146342607
"Brightfield Transportation Solutions",0
"BRIGHTLEAF TECHNOLOGIES",0
"Bristol-Myers Squibb Company",0.153252240762073
"BROADCOM",0.0682217639603081
"Brookhaven Science Associates",0.0541186456643599
"BROOKLYN QUANTUM WORKS",0
"Brother",0.104150581377778
"Brother Kogyo Kabushiki Kaisha",0.0751232455896179
"Bruin Biometrics",-0.0451389
"BTPATENT",0.074326775
"BTU",0.0565239259058824
"Buckman Laboratories",0.153490215926702
"Building Envelope Innovations",0
"Butamax(TM) Advanced Biofuels",0.00925928401639344
"CA",0.0414920834812099
"Cabot",0.0987596413523256
"Cadence Design Systems",0.0788071180604067
"Calient Technologies",-0.00405159771428571
"California Industrial Facilities Resources",-0.005215888
"Callahan Cellular LLC",-0.000252432777777778
"Calysta",0
"Cambridge Electronics",0
"CAMBRIDGE ENTERPRISE LIMITED",0.0615118732926829
"Canon",0.290548057073171
"Canon Kabushiki Kaisha",0.0948851190331377
"Canon Nanotechnologies",0.00176438153846154
"Canon US Life Sciences",-6.63591666666667e-05
"CAPAT",0
"CARBO Ceramics",0.0125914771875
"Carbon3D",0.0608788083809524
"Cardiac Pacemakers",0.00536134610368595
"Cardiva Medical",-0.001351591375
"Carestream Health",0.0287499558315789
"Caribou Biosciences",-0.00735294
"Carl Zeiss Meditec AG",0.0235406698009535
"Carl Zeiss Microscopy",0.0148122927822581
"Carver Scientific",0.0484740222222222
"Casio Computer Co",0.100317133805325
"Cavium",-0.00219278767346939
"Cbrite",0.108520199423077
"Cedar Ridge Research",0.0329328638461538
"Celanese",0.236754175192712
"CellPrint IP Holding",0
"CELLTRION",-0.000468254333333333
"Cellular Research",-0.00850998181818182
"Centre de Recherche Industrielle du Quebec",0.178475137567568
"Ceramatec",0.0434567194086021
"CERION",-0.00725230117647059
"Certain-teed",0.0125168355429864
"Cetac Technologies",0.0363030383018868
"Cetus",0.100951451697368
"Cheil Industries",0.055108427222964
"Chemtreat",0.006428536
"Chevron Oronitz Company",0.00235965044176707
"Chevron Phillips Chemical Company LP",-0.0112203716123499
"Chevron USA",0.0197341527656726
"Child Laboratories",0.2060250124
"Chipmos Technologies",0.0449292946448087
"Chiron",0.0743368548334937
"Christie Digital Systems",0.013337076
"Chromalox",0.0522048073684211
"Cima NanoTech Israel",0.00747799909090909
"Cisco Technology",0.0539195732913186
"Claret Medical",-0.00257514494444444
"Clean Energy Labs",0.0171743529411765
"Cleanvantage",0
"Clearside Biomedical",-0.001449276
"CLEARSIGN COMBUSTION",-0.0878190142857143
"CMC ICOS BIOLOGICS",0
"CNH Industrial America",-0.00631221931481481
"Coactive Drive",0.007678899
"Codexis",0.000345308132701422
"Coleman Cable",-0.129109922
"Colgate-Palmolive Company",0.197985657142258
"Coloplast A/S",0.0177375105786408
"Columbia Insurance Company",0.000931262751322751
"Combined Energies",0
"Commonwealth Scientific & Industrial Research Organization",0.195136384633295
"Community Power",-0.00441666
"Complete Genomics",-0.0025211864
"Component Re-Engineering Company",0
"Conexant Systems",0.0762236202284981
"Confluence Energy",0
"Conoco",0.138861679233524
"ConocoPhillips Company",0.0209720165585739
"Continental Manufacturing",0.291619225
"Conversant Intellectual Property Management",0.0245515120774648
"Cook Biotech",0.00562274237113402
"COOK MEDICAL TECHNOLOGIES",0.00639222860287892
"Cool Planet Energy Systems",-0.00630088461538462
"CoolEarth Solar",0.0441919333333333
"Cooper Technologies Company",0.0111509828937247
"Copernicus Therapeutics",0.01921792
"Coriant Advanced Technology",-0.0134763909090909
"Cornell Research Foundation",0.146524847694165
"Corporation for National Research Initiatives",0.0440199712820513
"Courtagen Life Sciences",0.003520142
"COVERIS FLEXIBLES US",0
"Covidien LP",-0.00454873168335878
"CP KELCO APS",0.0040701
"CP Kelco US",0.00995736857142857
"CPC",0.294890032794613
"CPT IP Holdings",0
"Cree",0.018042566174475
"Crepaco",0.2991264124
"Crestovo",0.00769350967741935
"Cristal USA",0.0270588964285714
"Cross Match Technologies",0.00877625894117647
"Crossbar",-0.00174219781081081
"Crystal Solar",-0.0235219785714286
"Crystalplex",0
"CSEM Centre Suisse d'Electronique et de Microtechnique SA-Recherche et Developpement",0.0553135737313433
"CUMMINS FILTRATION IP",-0.00274435282142857
"Cura Vac",0
"Custom Electronics",0
"CYBERCITY 3D",0
"Cyberonics",0.00680470947033898
"CyboEnergy",0.00119047625
"CYKL Technology",0.005642
"Cymatics Laboratories Corp",0.0303030333333333
"Cypress Semiconductor Corp",0.0464537491987387
"D-Wave Systems",0.00700975639053254
"Da Yu Enterprises LLC",-0.01445085
"Daikin Industries",0.125516615407758
"Dana",0.121335895585502
"Dana-Farber Cancer Institute",0.180231471797189
"Danisco US",0.00698089588379205
"Daylight Solutions",-0.00785379222222222
"DCG SYSTEMS",0.0196414856113445
"DECA Technologies",0.0232454682608696
"Deep Science",-0.000730994736842105
"Deep Well Power",0
"DEKA Products Limited Partnership",-0.000496803905882353
"Delavau",-0.015066132
"Dell Software",-0.0033739093557047
"Delphi Technologies",0.0508463874218812
"Delta Electronics",0.0646145194760066
"Denso",0.0721993577853019
"Dentsply",0.0209246341764706
"Deployable Space Systems",-0.0523747923076923
"DePuy Synthes Products",0.0061424856359447
"Dermazone Solutions",-0.0072935
"Dexerials",0.0673629154444444
"DHPC TECHNOLOGIES",0
"Dialight",0.0629401729473684
"Dialogic",0.0974092954615385
"Diamicron",0.0470635785348837
"Diamond Innovations",0.0379784977922078
"DIC",0.0812111266725044
"Digital Wind Systems",0.00246914
"DiscoveRx",0.143183264
"DISCOVERYBIOMED",0
"Disney Enterprises",0.0495764854678451
"DNA Twopointo",-0.05790213125
"DNA20",0.0496615936153846
"Dogwood Pharmaceuticals",-0.0455292266666667
"Dolby Laboratories Licensing",0.0459999199120879
"Domtar Paper Company",0
"Dongbu Hitek Co",0.0962386699186046
"Dow AgroSciences",0.0350799689704272
"Dow Corning",0.146073355976761
"Dow Global Technologies",0.0145613233310289
"Dow Technology Investments",-0.00260817923076923
"DPD",0.0485983192222222
"DPx Holdings BV",0
"Dr Reddy's Laboratories",0.02867839895
"Dresser-Rand Company",0.0561071578140351
"DRS Network &#x26; Imaging Systems",-0.0131944458333333
"DSP Group",0.053433924953271
"DuPont Teijin Films US Limited Partnership",0.0108596190909091
"Dymax",0.0579610412244898
"Dynamic Solutions Worldwide",0
"E I du Pont de Nemours and Company duPont Displays",-0.0099415
"E Ink",-0.0162216704579439
"E Techorporation",-0.0196078333333333
"Easel Biotechnologies",-0.0062893
"Eastman Chemical Company",0.03474467125587
"Eastman Kodak Company",0.117103605597384
"Eaton",0.135197903107174
"Echogen Power Systems",-0.008557883
"EchoStar Technologies",0.0255483216472393
"Ecolab",0.00440141519482387
"ECOSYNTHETIX",0.1677249
"Ecovative Design",0.0078125
"Egenera",0.10140068125
"Eisai Co",0.300287215668693
"ELC Management",0.00520372713375796
"Elcriton",0
"ElectraTherm",0.45286502
"Electrix",0.00879629857142857
"Electronic Warfare Associates",0.0320065173684211
"Electrovaya",0.051157773
"Element One",0.00411523333333333
"Elenion Technologies",0
"Elwha",0.00120943775
"Em-Tech",-0.00915634125
"Embro",0.0597758950203252
"EMC",0.0983113945494953
"EMD Technologies",0.0576937023134328
"Empire Technology Development",0.0367253842551971
"Energen",0.0560007735294118
"ENERGY ENGINEERING SYSTEMS",0.3333335
"ENERGY INDEPENDENCE OF AMERICA CORP",0
"Energysolutions",-0.0486420818181818
"Enginuity Worldwide",-0.0138889
"Englewood Lab",0
"ENI SpA",0.0480175296995708
"ENI Technology",0.0127881506
"eNow",0.0158046
"Ensyn Renewables",-0.0624689364
"Entech Solar",-0.010869575
"Entegris",0.00585295641340782
"Envision Solar",0.0588236666666667
"Envisionit",-0.000219235466666667
"EPCOS AG",0.0399189449672131
"Epizyme",-0.0687161214516129
"ESCAPE THERAPEUTICS",0.00833333
"eSionic Corp",0
"Esolar",0.0219867566666667
"Ethicon Endo-Surgery",-0.0354622328713722
"Ethox Chemicals",0.044441841
"Evernote",0.0401474360526316
"Everspin Technologies",0.0368568431182796
"Evoqua Water Technologies",-0.00311990208045977
"Evri",-0.00213555775
"Exatec",0.0540931891489362
"Excelsior Nanotech",0
"EXOS",-0.0008143325
"Express Imaging Systems",0.0159813652631579
"Extech/Exterior Technologies",0.0154594847368421
"ExxonMobil Chemical Patents",0.0113703680612245
"ExxonMobil Research and Engineering Company",0.0347288420911128
"ExxonMobil Upstream Research Company",0.00997214931493099
"Facebook",0.0546839729129129
"Fairchild Semiconductor",0.044628972526971
"FastCAP Systems",0.003465112
"Faurecia Interior Systems",-0.00859557258064516
"Federal Signal",0.167573098765957
"FEI Company",0.0189797270227273
"Fenwal",-0.00242506478125
"Ferric",0.00634305555555556
"Ferro",0.13778382796
"Fezza Family Properties",-0.0098039
"FHT",0.0484456355
"Fianium",0.0552360890625
"Fike",0.0910940189447077
"Fina Technology",0.0639587297009967
"Finisar",0.0532628926216424
"First Solar",0.0163442064285714
"Flextronics AP",0.0198317180985915
"FLIR Systems",0.0444573392444444
"Floadia",0
"FLOW CONTROL",0.001106195
"Fluidigm",-0.00648814382307692
"Ford Global Technologies",0.019016581420802
"Forest Concepts",-0.110947435483871
"Foret Plasma Labs",-0.0295494892307692
"Formula Plastics",-0.1299145
"FPInnovations",0.0139339203571429
"Freescale Semiconductor",0.0424810459022403
"FRONT EDGE TECHNOLOGY",-0.0231783367391304
"Fuji Electric Co",0.108966487297504
"Fuji Xerox Co",0.125148500191442
"FUJIFILM",0.0966955325950954
"FUJIFILM Dimatix",0.0134464977054795
"Fujitsu Limited",0.0962859040373285
"Fujitsu Semiconductor Limited",0.0661980273646209
"FULL CIRCLE BIOCHAR",-0.00249825
"Furukawa Electric Co",0.138421204240964
"FutureWei Technologies",0.111672479690094
"fybr",-0.2
"Galectin Therapeutics",-0.04215373
"Galemed",0.0757407038095238
