"count.p.id.","lookup_firm","firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","about_gen.count","about_exact.count","default_to_home","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","rd_per_page","mean_i2017y","mean_cd2017y","year.min.p..date..."
201,"GE Healthcare Limited","GE Healthcare Limited","GE Healthcare Limited","gehealthcare.com/",0,0,1,1,51373,"FirmSize.LARGE_FIRM",0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.63101604278075,0.0724696117647059,2005
144,"GE-Hitachi Nuclear Energy Americas","GE-Hitachi Nuclear Energy Americas LLC","GE-Hitachi Nuclear Energy Americas","nuclear.gepower.com/",1,0,0,1,26181,"FirmSize.LARGE_FIRM",0,12,1,0,0,22,8,20,10,34,1,9,4,26,7,13,32,1,13,22,0.625,0.00143148118055556,2009
47,"GED Intergrated Solution","GED Intergrated Solution","GED Intergrated Solution","gedusa.com/",1,0,0,1,111,"FirmSize.EU_MEDIUM_FIRM",1,6,2,0,1,2,8,2,3,74,2,1,0,5,3,22,13,0,22,1,3.51063829787234,-0.019323665106383,2005
6,"Gemex Systems","Gemex Systems","Gemex Systems","gemex.com/",1,0,0,1,22,"FirmSize.SMALL_FIRM",1,2,1,0,0,0,4,0,0,11,0,0,0,0,0,2,2,1,2,0,2.5,0.0748634,2008
493,"GEN-PROBE","GEN-PROBE INCORPORATED","GEN-PROBE","hologic.com/",0,0,1,1,703,"FirmSize.LARGE_FIRM",0,16,7,0,1,7,3,63,55,6,7,8,7,8,5,3,6,1,3,1,16.0668058455115,0.0158254913465553,1990
1,"GENCO SCIENCES","GENCO SCIENCES LLC","GENCO SCIENCES","gpen.com/",1,0,0,1,2571,"FirmSize.LARGE_FIRM",0,2,1,0,0,1,8,0,0,2,0,0,0,5,0,2,0,0,3,1,0,0,2016
2461,"Genentech","Genentech","Genentech","gene.com/",0,0,1,1,21609,"FirmSize.LARGE_FIRM",0,15,3,0,0,51,9,1,6,21,5,27,8,76,2,2,36,13,1,17,14.7399267399267,0.105209642538869,1982
41692,"GENERAL ELECTRIC COMPANY","GENERAL ELECTRIC COMPANY","GENERAL ELECTRIC COMPANY","ge.com/",1,1,0,2,313000,"FirmSize.LARGE_FIRM",0,1,1,0,0,1,1,1,1,0,0,3,0,0,1,0,0,0,0,1,12.3802326713396,0.14276321623216,1976
11163,"GENERAL MOTORS","GENERAL MOTORS LLC","GENERAL MOTORS","gm.com/",0,1,0,1,116648,"FirmSize.LARGE_FIRM",0,6,2,0,0,2,3,0,0,12,0,5,7,4,5,1,3,5,1,1,14.8136297903109,0.223374120854483,1976
97,"Genesco","Genesco Inc.","Genesco","genescopartners.com/",0,0,1,1,8200,"FirmSize.LARGE_FIRM",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8604651162791,0.0981896513953488,1977
13,"Genisphere","Genisphere","Genisphere","genisphere.com/",0,0,1,1,19,"FirmSize.SMALL_FIRM",1,3,1,0,7,50,6,12,15,21,3,18,22,40,0,9,3,3,3,50,0.230769230769231,0.000325945384615385,2009
82,"Genomatica","Genomatica","Genomatica","genomatica.com/",0,1,1,2,129,"FirmSize.EU_MEDIUM_FIRM",1,4,1,0,1,4,2,4,2,27,0,1,0,6,6,0,1,0,0,4,4.1219512195122,-0.00606594085365854,2010
42,"Genomic Health","Genomic Health","Genomic Health","genomichealth.com/",0,0,1,1,992,"FirmSize.LARGE_FIRM",0,11,4,0,1,34,7,72,79,4,3,20,27,14,2,8,5,7,2,8.5,4.76190476190476,0.0914335116666667,2006
1454,"Genzyme","Genzyme Corporation","Genzyme","sanofigenzyme.com/",1,0,1,2,10453,"FirmSize.LARGE_FIRM",0,10,3,0,0,38,5,6,6,7,3,8,1,7,2,0,4,9,0,12.6666666666667,33.4375,0.0452043568970588,1976
32,"Georgia-Pacific Gypsum","Georgia-Pacific Gypsum LLC","Georgia-Pacific Gypsum","buildgp.com/georgia-pacific-gypsum",0,1,0,1,15327,"FirmSize.LARGE_FIRM",0,1,1,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1.9375,0.0561303875,2004
8,"Gestion Ultra","Gestion Ultra International Inc.","Gestion Ultra","luminultra.com/",1,0,0,1,4,"FirmSize.MICRO_FIRM",1,4,1,0,0,3,5,15,16,12,4,1,1,13,2,14,0,0,12,3,2.75,-0.01688905,2002
508,"Gilead Sciences","Gilead Sciences","Gilead Sciences","gilead.com/",0,0,1,1,11289,"FirmSize.LARGE_FIRM",0,7,1,0,0,15,0,2,2,5,2,6,2,11,0,0,3,0,0,15,16.9466403162055,0.0653325216047431,1992
9,"GlassPoint Solar","GlassPoint Solar","GlassPoint Solar","glasspoint.com/",0,1,0,1,205,"FirmSize.EU_MEDIUM_FIRM",1,2,1,1,0,1,1,1,0,2,0,2,0,1,1,2,0,0,2,1,4.77777777777778,-0.0233507311111111,2014
