,0,1,2,3,4,5,6,7,8,9,10,11
10,Atotech Deutschland,Atotech,Atotech Deutschland GmH: 212,Atotech USA: 16,Atotech US A: 1,Atotech Deutschland LLP: 1,,,,,,
11,Avery Dennison,Avery,Avery-Dennison: 1304,AVERY DENNISON RETAIL INFORMATION SERVICES: 104,Avery Corp: 103,Avery Outdoors: 14,Avery Products: 9,Avery Dennison Zweckform Office Products Europe: 5,AVERY AEROSPACE: 4,Avery: 3,Avery Dennison Materials Pty: 3,Avery Design Systems: 3
12,BAE Systems Information and Electronic Systems Integration,BAE,BAE Systems Information and Electronics Systems Integration: 1214,BAE Systems: 599,BAE Systems Controls: 58,BAE Systems Land & Armaments LP: 54,BAE Systems Bofors AB: 52,BAE Industries: 52,BAE SYSTEMS HÃÂÃÂGGLUNDS AKTIENBOLAG: 46,BAE Systems Electronics Limited: 20,BAE Systems Imaging Solutions: 18,BAE Systems Tensy Lon HPM: 16
13,BASF Plant Science,BASF,BASF Aktiengeschaft: 11305,BASF SF: 3644,BASF Wyandotte: 455,BASF Coatings: 421,BASF Plant Sciences: 266,BASF Lacke+Farben AG: 113,BASF Lacke & Farben Aktiengesellschaft: 84,BASF Farben & Faser AG: 80,BASF Catalysts: 77,BASF Magnetics: 75
14,Battelle Energy Alliance,Battelle,Battelle Memorial Institute: 1647,Battelle Energy Alliance LC: 414,Battelle Development: 172,Battelle Institute eV: 81,Battelle Memorial Institute K1-53: 21,Battelle Pulmonary Therapeutics: 9,Battelle Memorial Insitute: 4,BattellePharma: 3,Battelle Ingenieurtechnik: 2,Battelle Memorial Institute Pacific Northwest Laboratory: 1
15,Bausch & Lomb,Bausch,Bausch-Lomb: 1061,Bausch & Lomb Surgical: 48,Bausch & Lomb Pharma Holdings Corp: 3,Bausch & Lomb Professional Dental Products: 2,Bausch & Lomb Hearing Systems Division: 1,Bausch ÃÂ¢ÃÂÃÂ¢ Lomb: 1,Bausch ÃÂÃÂ· Lomb: 1,Bausch & Strobel Maschinenfabrik: 1,Bausch & Strobel Maschinenfabrik & Co: 1,
16,Baxter,Baxter,Baxter Internatiional: 2093,Baxter Travenol Labs: 807,Baxter Healthcare: 793,Baxter SA: 70,Baxter Laboratories: 49,Baxter Diagnostics: 30,Baxter Englewood: 21,Baxter Biotech Technology Sarl: 15,Baxter Innovations: 12,Baxter Research Medical: 4
17,Baxter Healthcare SA,Baxter,Baxter Internatiional: 2093,Baxter Travenol Labs: 807,Baxter Healthcare: 793,Baxter SA: 70,Baxter Laboratories: 49,Baxter Diagnostics: 30,Baxter Englewood: 21,Baxter Biotech Technology Sarl: 15,Baxter Innovations: 12,Baxter Research Medical: 4
18,Bayer Materialscience,Bayer,Bayer AG: 12493,Bayer CropScience AG: 1196,Bayer MeterialScience AG: 709,BAYER INTELLECTUALPROPERTY: 693,Bayer Healhcare AG: 639,Bayer Schering Pharma Aktiengesellschaft: 196,Bayer Pharma: 184,Bayer Pharmaceuticals: 71,Bayer Bioscience NV: 67,Bayer Technology Services: 62
19,Biocon Limited,Biocon,Biocon: 90,BioControl Systems: 33,Biocontrol Medical: 13,Bioconnect Systems: 9,Biocontrol Limited: 7,Biocontrol: 7,Biocontrol Technology: 6,Biocon India Limited: 5,BioControl System: 1,Bioconversion Srl: 1
