firm_name,url,gid
Nationwide Children's Hospital,https://www.nationwidechildrens.org/about-us/future-of-pediatric-care,695
Nationwide Children's Hospital,https://www.nationwidechildrens.org/about-us/collaborations,695
AT&T Corporation,https://www.att.com/,26
Nationwide Children's Hospital,https://www.nationwidechildrens.org/specialties/behavioral-health,695
Nationwide Children's Hospital,https://www.nationwidechildrens.org/about-us/advocacy-and-government-relations,695
Nationwide Children's Hospital,https://www.nationwidechildrens.org/about-us/everyone-matters---diversity--inclusion,695
Nationwide Children's Hospital,https://www.nationwidechildrens.org/impact-quality/partners-for-kids-pediatric-accountable-care,695
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/quality-policy,1084
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/history,1084
Silicon Space Technology Corp.,https://www.voragotech.com/company-overview,923
AT&T Corporation,https://www.att.com/home-phone/,26
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company,1084
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/news,1084
Nationwide Children's Hospital,https://www.nationwidechildrens.org/family-resources-education/700childrens/2017/11/its-cold-and-flu-season-visitor-restrictions-now-in-place,695
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/leadership-team,1084
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/careers,1084
VEECO PRECISION SURFACE PROCESSING LLC,http://www.veeco.com/company/events,1084
Silicon Space Technology Corp.,https://www.voragotech.com/executive-team,923
Sony Interactive Entertainment America LLC,https://www.sie.com/en/csr.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/map.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/index.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/info.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release/archives.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release/2018/180529.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/history.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release/2018/181031.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release/2018/180606.html,956
Sony Interactive Entertainment America LLC,https://www.sie.com/en/corporate/release/2018/180919a.html,956
