firm_name,url
Tufts Medical Center,https://www.tuftsmedicalcenter.org/Research-Clinical-Trials/About-Research
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/News/Web/Awake-craniotomy
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/New-CEO
Tufts Medical Center,https://www.tuftsmedicalcenter.org/About-Us/Recent-Awards-and-Recognitions/Vizient
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/people.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Leapfrog
ENI S.p.A.,https://www.eni.com/en_IT/company/international-presence.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/About-Us/Community-Partners-Programs/Asian-Community
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/code-of-ethics.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/About-Us/Recent-Awards-and-Recognitions
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Vizient
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Cybersecurity
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Neonatal-care
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/remuneration.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/shareholders.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Opioid-Guidelines
Tufts Medical Center,https://www.tuftsmedicalcenter.org/Research-Clinical-Trials/Partnerships-and-Collaborations
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/Eni-values.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Tufts-CTSI-NIH-Award
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/how-we-work.page
ENI S.p.A.,https://www.eni.com/en_IT/company/fuel-cafe/eni-and-education.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/year-results.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/500-Heart-Transplant
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/market-share.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/patient-care-services/Billing-and-Insurance/Cashless-copay
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/brand-identity.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/business-model.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/our-new-mission.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/About-Us/Community-Partners-Programs/Asian-Health-Initiative
Tufts Medical Center,https://www.tuftsmedicalcenter.org/handlers/GetMenuItems.aspx?id=db4fe0a1-e84f-4f57-8472-f207e1461ac6
ENI S.p.A.,https://www.eni.com/en_IT/company/eni-history/eni-historic-magazines.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/profile-of-the-year.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/patient-care-services/Meet-Your-Care-Team/Nursing/Overview
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/News/Web/Comprehensive-Stroke-Center
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/publications.page
ENI S.p.A.,https://www.eni.com/en_IT/company/fuel-cafe/green-finance.page
ENI S.p.A.,https://www.eni.com/en_IT/company/fuel-cafe/brent-price-oil.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/News/Web/Brain/Lasers-Used-For-Seizures
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/board-of-directors.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/contacts-governance.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/shareholders-meeting.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/eni-governance-awards.page
ENI S.p.A.,https://www.eni.com/en_IT/company/eni-history/remembering-eni-founder.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/corporate-governance-code.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/board-of-statutory-auditors.page
ENI S.p.A.,https://www.eni.com/en_IT/company/eni-history/history-oil-exploration-italy.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/internal-dealing-and-shareholdings.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/employees/employees-by-country.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/committees-of-the-board-of-directors.page
ENI S.p.A.,https://www.eni.com/en_IT/sustainability/operating-model/environment/oil-spill-management.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/About-Us/Policies-and-Public-Documents/Terms-and-Conditions
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/In-the-News/Nephrology/Claudias-Story-PKD
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/Clinical-Research-Forum
ENI S.p.A.,https://www.eni.com/en_IT/company/eni-history/preserving-the-past.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/News-Events-Media/Press-Releases/2018/HHMA-renamed-Tufts-MC-Community-Care
ENI S.p.A.,https://www.eni.com/en_IT/company/fuel-cafe/centrality-natural-gas.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/compensation-paid-2017.page
ENI S.p.A.,https://www.eni.com/en_IT/company/governance/corporate-governance-report.page
ENI S.p.A.,https://www.eni.com/en_IT/sustainability/operating-model/safety/management.page
ENI S.p.A.,https://www.eni.com/en_IT/innovation/our-skills/knowledge-management-system.page
ENI S.p.A.,https://www.eni.com/en_IT/company/fuel-cafe/mediterranean-energy-perspectives.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/business-model/digitalization.page
ENI S.p.A.,https://www.eni.com/en_IT/company/company-profile/enis-subsidiaries-and-affiliates.page
ENI S.p.A.,https://www.eni.com/en_IT/sustainability/cooperation-model/local-partnerships/undp.page
ENI S.p.A.,https://www.eni.com/en_IT/sustainability/decarbonization/governance-and-risk-management.page
Tufts Medical Center,https://www.tuftsmedicalcenter.org/patient-care-services/Departments%20and%20Services/Thoracic%20Surgery/Clinical%20Care%20Services/Comprehensive%20Thoracic%20Program
ENI S.p.A.,https://www.eni.com/en_IT/company/eni-history/eni-history-of-great-company.page
TRANE INTERNATIONAL INC.,https://www.trane.com/business_partners.aspx
ENI S.p.A.,https://www.eni.com/en_IT/sustainability/cooperation-model/local-partnerships.page
ENI S.p.A.,https://www.eni.com/en_IT/careers/training-and-guidance/eni-corporate-university.page
Genomic Health,http://www.genomichealth.com/en-US/join_our_team/us_benefits
