firm_key,main_topic,num_words,para_order,prob
Saint-Gobain Adfors Canada.txt,7,26,3,0.966658830643
Helios Focus LLC.txt,5,15,1,0.943735837936
Helios Focus LLC.txt,5,21,2,0.521755695343
Helios Focus LLC.txt,4,20,3,0.957132875919
SB ENERGY.txt,1,20,1,0.776442229748
Simbol Inc_.txt,4,15,1,0.943730354309
Simbol Inc_.txt,1,25,2,0.965379059315
Simbol Inc_.txt,2,21,3,0.959084868431
Simbol Inc_.txt,3,18,4,0.952619671822
Simbol Inc_.txt,9,14,5,0.939985394478
Simbol Inc_.txt,5,22,6,0.960862219334
Simbol Inc_.txt,5,40,7,0.720334291458
Simbol Inc_.txt,8,33,8,0.973523855209
Alnylam Pharmaceuticals.txt,0,14,1,0.939987063408
Alnylam Pharmaceuticals.txt,0,14,2,0.939987957478
Alnylam Pharmaceuticals.txt,4,18,3,0.952623665333
Alnylam Pharmaceuticals.txt,2,14,4,0.939983010292
Alnylam Pharmaceuticals.txt,9,15,5,0.943737447262
Alnylam Pharmaceuticals.txt,2,12,6,0.930761575699
Alnylam Pharmaceuticals.txt,9,15,7,0.943732738495
Vascular BioSciences.txt,2,59,1,0.829049527645
Vascular BioSciences.txt,3,40,2,0.978043794632
Vascular BioSciences.txt,5,33,3,0.570578098297
Vascular BioSciences.txt,4,19,4,0.9549908638
Vascular BioSciences.txt,9,15,5,0.943738818169
Vascular BioSciences.txt,3,19,6,0.639474570751
Vascular BioSciences.txt,3,37,7,0.97630995512
CP Kelco U_S_.txt,6,33,1,0.831829547882
CP Kelco U_S_.txt,6,61,2,0.933385133743
CP Kelco U_S_.txt,9,11,3,0.924988687038
UChicago Argonne.txt,2,36,1,0.975668728352
UChicago Argonne.txt,2,19,2,0.954985916615
UChicago Argonne.txt,3,28,3,0.96895802021
UChicago Argonne.txt,1,21,4,0.959081292152
UChicago Argonne.txt,0,30,5,0.970960319042
UChicago Argonne.txt,0,40,6,0.49759170413
UChicago Argonne.txt,0,57,7,0.649216651917
Autonomic Materials.txt,2,27,1,0.967849612236
Autonomic Materials.txt,2,39,2,0.597030520439
Autonomic Materials.txt,8,30,3,0.970962703228
Autonomic Materials.txt,8,59,4,0.98499661684
Autonomic Materials.txt,5,658,5,0.851453363895
Thorlabs.txt,7,23,1,0.962493121624
Quantum Devices.txt,6,16,1,0.947044909
Quantum Devices.txt,7,10,2,0.918170571327
Quantum Devices.txt,7,14,3,0.939992308617
Sungevity Inc_.txt,1,23,1,0.697073876858
Sungevity Inc_.txt,5,20,2,0.957131505013
Sungevity Inc_.txt,2,12,3,0.930751442909
Sungevity Inc_.txt,3,11,4,0.679135084152
Sungevity Inc_.txt,3,14,5,0.737738072872
Sungevity Inc_.txt,5,38,6,0.520212352276
Sungevity Inc_.txt,3,20,7,0.957131445408
Sungevity Inc_.txt,5,53,8,0.941569566727
Sungevity Inc_.txt,1,22,9,0.960860788822
Yissum.txt,0,22,1,0.960861980915
Yissum.txt,0,40,2,0.978044271469
Yissum.txt,3,15,3,0.943737983704
Yissum.txt,0,26,4,0.966659605503
Yissum.txt,5,11,5,0.532946884632
Yissum.txt,5,31,6,0.97186768055
Yissum.txt,8,27,7,0.518950819969
Yissum.txt,9,11,8,0.924982607365
Kimberly-Clark Worldwide.txt,0,13,1,0.935699760914
Kimberly-Clark Worldwide.txt,5,23,2,0.962495803833
Kimberly-Clark Worldwide.txt,2,12,3,0.485295087099
Kimberly-Clark Worldwide.txt,7,11,4,0.924978017807
Kimberly-Clark Worldwide.txt,9,19,5,0.595307171345
Kimberly-Clark Worldwide.txt,9,17,6,0.732536017895
Fianium Ltd_.txt,6,13,1,0.935706079006
Fianium Ltd_.txt,8,21,2,0.720123708248
Fianium Ltd_.txt,2,20,3,0.633699119091
Rockwell Collins.txt,0,13,1,0.935693144798
Rockwell Collins.txt,5,53,2,0.505840420723
Rockwell Collins.txt,2,62,3,0.508256852627
Rockwell Collins.txt,7,26,4,0.523575305939
Rockwell Collins.txt,2,50,5,0.982349097729
Rockwell Collins.txt,7,21,6,0.959083139896
Rockwell Collins.txt,7,15,7,0.94373601675
Rockwell Collins.txt,7,25,8,0.965374708176
Rockwell Collins.txt,0,21,9,0.95908164978
Rockwell Collins.txt,5,44,10,0.870715260506
Rockwell Collins.txt,0,54,11,0.462522774935
Rockwell Collins.txt,7,24,12,0.963993906975
Rockwell Collins.txt,7,22,13,0.960863769054
Rockwell Collins.txt,7,36,14,0.651365816593
Quest Diagnostics Investments Incorporated.txt,0,59,1,0.984996378422
Quest Diagnostics Investments Incorporated.txt,8,20,2,0.957132339478
Quest Diagnostics Investments Incorporated.txt,5,40,3,0.520917832851
Quest Diagnostics Investments Incorporated.txt,6,27,4,0.799699246883
Quest Diagnostics Investments Incorporated.txt,4,46,5,0.968785941601
Quest Diagnostics Investments Incorporated.txt,8,20,6,0.957132339478
Quest Diagnostics Investments Incorporated.txt,1,30,7,0.970961213112
HARMAN INTERNATIONAL INDUSTRIES.txt,8,11,1,0.924981832504
HARMAN INTERNATIONAL INDUSTRIES.txt,8,20,2,0.957132339478
HARMAN INTERNATIONAL INDUSTRIES.txt,2,14,3,0.844372630119
HARMAN INTERNATIONAL INDUSTRIES.txt,8,11,4,0.924978673458
HARMAN INTERNATIONAL INDUSTRIES.txt,0,11,5,0.924983024597
HARMAN INTERNATIONAL INDUSTRIES.txt,0,16,6,0.695432841778
HARMAN INTERNATIONAL INDUSTRIES.txt,8,10,7,0.91816341877
HARMAN INTERNATIONAL INDUSTRIES.txt,4,25,8,0.488821983337
HARMAN INTERNATIONAL INDUSTRIES.txt,3,39,9,0.82508289814
HARMAN INTERNATIONAL INDUSTRIES.txt,8,25,10,0.965376257896
HARMAN INTERNATIONAL INDUSTRIES.txt,8,36,11,0.457909673452
Osram Sylvania Inc_.txt,1,16,1,0.759725034237
Osram Sylvania Inc_.txt,7,21,2,0.503351390362
Osram Sylvania Inc_.txt,8,19,3,0.954987406731
Osram Sylvania Inc_.txt,8,11,4,0.924980819225
Osram Sylvania Inc_.txt,4,10,5,0.918168783188
Osram Sylvania Inc_.txt,3,7,6,0.642436027527
Osram Sylvania Inc_.txt,3,6,7,0.871423840523
Osram Sylvania Inc_.txt,3,12,8,0.930766820908
Osram Sylvania Inc_.txt,3,18,9,0.952630221844
Osram Sylvania Inc_.txt,3,12,10,0.930767357349
Osram Sylvania Inc_.txt,3,6,11,0.709862232208
Osram Sylvania Inc_.txt,0,12,12,0.480766177177
Osram Sylvania Inc_.txt,0,12,13,0.593824148178
Osram Sylvania Inc_.txt,0,6,14,0.871423304081
Osram Sylvania Inc_.txt,0,6,15,0.871423959732
Osram Sylvania Inc_.txt,0,6,16,0.871423363686
Osram Sylvania Inc_.txt,0,6,17,0.584834158421
FUJIFILM Corporation.txt,1,17,1,0.532348930836
FUJIFILM Corporation.txt,0,10,2,0.662760674953
FUJIFILM Corporation.txt,8,17,3,0.949986577034
FUJIFILM Corporation.txt,7,14,4,0.939991652966
FUJIFILM Corporation.txt,8,11,5,0.924986362457
FUJIFILM Corporation.txt,0,13,6,0.935697793961
FUJIFILM Corporation.txt,0,25,7,0.965376257896
FUJIFILM Corporation.txt,4,15,8,0.713697731495
FUJIFILM Corporation.txt,7,14,9,0.814249455929
FUJIFILM Corporation.txt,7,18,10,0.952618777752
FUJIFILM Corporation.txt,1,26,11,0.966659247875
Shimadzu Corporation.txt,2,20,1,0.957135975361
Shimadzu Corporation.txt,9,22,2,0.96085870266
Shimadzu Corporation.txt,8,10,3,0.918163478374
Shimadzu Corporation.txt,9,10,4,0.918165743351
Shimadzu Corporation.txt,7,22,5,0.50094884634
Nanoquantum Sciences.txt,4,19,1,0.620386123657
Nanoquantum Sciences.txt,7,38,2,0.818531990051
Nanoquantum Sciences.txt,4,47,3,0.562159478664
Nanoquantum Sciences.txt,4,36,4,0.975671291351
Nanoquantum Sciences.txt,7,40,5,0.586330533028
Nanoquantum Sciences.txt,4,5,6,0.849971115589
