firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust
Astech,astech.com/,3.0,2224.5,2221.5,2224.5,FirmSize.LARGE_FIRM,4,astech.com,0
Advanced Cell Technology,astellas.us/therapeutic/rnd/airm.aspx,7.0,,,7.0,FirmSize.MICRO_FIRM,1,astellas.us,0
AstenJohnson,astenjohnson.com/,528.0,80.0,448.0,528.0,FirmSize.LARGE_FIRM,2,astenjohnson.com,0
ASTUTE MEDICAL,astutemedical.com/,59.0,,,59.0,FirmSize.EU_MEDIUM_FIRM,3,astutemedical.com,0
Astex Pharmaceuticals,astx.com/,50.0,136.0,86.0,136.0,FirmSize.EU_MEDIUM_FIRM,0,astx.com,0
Aurrion,asurion.com/,9.0,,,9.0,FirmSize.MICRO_FIRM,1,asurion.com,0
ATC Technologies,atctechnologiesinc.com/,9.0,1720.0,1711.0,1720.0,FirmSize.LARGE_FIRM,4,atctechnologiesinc.com,0
Atleisure LLC,atleisure.com/,4.0,,,4.0,FirmSize.MICRO_FIRM,1,atleisure.com,0
ATOMERA INCORPORATED,atomera.com/,15.0,16.0,1.0,16.0,FirmSize.SMALL_FIRM,0,atomera.com,0
Atom Nanoelectronics,atomoe.com/,6.0,,,6.0,FirmSize.MICRO_FIRM,1,atomoe.com,0
Atonometrics,atonometrics.com/,8.0,,,8.0,FirmSize.MICRO_FIRM,1,atonometrics.com,0
Atotech Deutschland GmbH,atotech.com/,1666.0,1036.0,630.0,1666.0,FirmSize.LARGE_FIRM,0,atotech.com,0
Atrium Medical Corporation,atriummed.com/,19.0,65000.0,64981.0,65000.0,FirmSize.LARGE_FIRM,3,atriummed.com,0
AT&T Corporation,att.com/,238038.0,273210.0,35172.0,273210.0,FirmSize.LARGE_FIRM,0,att.com,0
ATTOSTAT,attostat.com/,9.0,,,9.0,FirmSize.MICRO_FIRM,1,attostat.com,0
DNA Twopointo,atum.bio/,33.0,,,33.0,FirmSize.SMALL_FIRM,2,atum.bio,1
DNA2.0,atum.bio/,,,,33.0,FirmSize.SMALL_FIRM,0,atum.bio,1
Aurora Alage,aurorabiofuels.com/,12.0,,,12.0,FirmSize.SMALL_FIRM,2,aurorabiofuels.com,0
Aushon Biosystems,aushon.com/,20.0,,,20.0,FirmSize.SMALL_FIRM,2,aushon.com,0
Auterra,auterrainc.com/,8.0,,,8.0,FirmSize.MICRO_FIRM,1,auterrainc.com,0
Authenex,authenex.com/site_en/index.html,13.0,,,13.0,FirmSize.SMALL_FIRM,2,authenex.com,0
Autonomic Materials,autonomicmaterials.com/,10.0,,,10.0,FirmSize.SMALL_FIRM,2,autonomicmaterials.com,0
Avalanche Technology,avalanche-technology.com/,35.0,320.0,285.0,320.0,FirmSize.US_MEDIUM_FIRM,2,avalanche-technology.com,0
Avantor Performance Materials,avantorinc.com/,5.0,1.0,4.0,5.0,FirmSize.MICRO_FIRM,0,avantorinc.com,0
Avertech,avertech.com.sg/,47.0,,,47.0,FirmSize.SMALL_FIRM,2,avertech.com.sg,0
Avery Dennison Corporation,averydennison.com/,13807.0,30000.0,16193.0,30000.0,FirmSize.LARGE_FIRM,0,averydennison.com,0
Avon Products,avon.com/,72320.0,30850.0,41470.0,72320.0,FirmSize.LARGE_FIRM,0,avon.com,0
Avtaec Limited,avtec.in/,,,,,FirmSize.UNDEFINED,0,avtec.in,0
The Babcock & Wilcox Company,babcock.com/,2436.0,4000.0,1564.0,4000.0,FirmSize.LARGE_FIRM,0,babcock.com,0
Babcock Power Services,babcockpower.com/,,1404.5,,1404.5,FirmSize.LARGE_FIRM,5,babcockpower.com,0
BAE Systems Information and Electronic Systems Integration Inc.,baesystems.com/en-us/our-company/inc-businesses/electronic-systems,100.0,20300.0,20200.0,20300.0,FirmSize.LARGE_FIRM,2,baesystems.com,0
Banpil Photonics,banpil.com/,8.0,,,8.0,FirmSize.MICRO_FIRM,1,banpil.com,0
BASF Coatings GmbH,basf-coatings.com/global/ecweb/en/,278.0,,,278.0,FirmSize.US_MEDIUM_FIRM,4,basf-coatings.com,0
