"firm","lookup_firm","lookup_firm_web","hit_url","nano","green","synbio","count_all_ind","max_emps","size_state","sme","pages","num_words","avg_words_per_page","year.min.p..date...","num_patents_all","num_patents_3","mean_assignees_all","mean_assignees_3","mean_inventors_all","mean_inventors_3","patent_pattern","rd_pattern","product_pattern","trial_pattern","demo_pattern","manufacturing_pattern","venture_pattern","investment_pattern","university_pattern","partnership_pattern","greenness_pattern","customization_pattern","awards_pattern","membership_pattern","customer_pattern","about_gen.count","about_exact.count","default_to_home","mean_i2017y","mean_cd2017y"
"SPC International","SPC","SPC","spc-intl.com",0,1,0,1,12,"FirmSize.SMALL_FIRM",1,8,23347,2918.375,1992,24,1,1,1,2.16666666666667,2,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,2,1,1,4.47058823529412,0.00147224117647059
"SPICE SOLAR","SPICE SOLAR","SPICE SOLAR","spicesolar.com/",0,1,0,1,4,"FirmSize.MICRO_FIRM",1,24,221317,9221.54166666667,2016,1,1,1,1,3,3,2,7,13,1,0,10,0,2,7,5,3,0,2,4,2,2,1,0,1,0.0344828
"SRG Global","SRG Global","SRG Global","srgglobal.com/",0,0,1,1,10700,"FirmSize.LARGE_FIRM",0,22,85203,3872.86363636364,2013,8,1,1,1,1.875,1,0,9,4,11,6,32,0,0,0,7,2,5,1,0,8,6,4,0,3.125,-0.0361888625
"St. Jude Medical","St Jude Medical","St Jude Medical","sjm.com/",0,0,1,1,11657,"FirmSize.LARGE_FIRM",0,25,383636,15345.44,1976,488,1,1.00819672131148,1,2.70286885245902,4,0,0,2,0,3,1,0,0,0,2,4,0,0,0,0,6,2,0,25.0741525423729,0.0109371835021186
"St. Microelectronics Inc.","St Microelectronics","St Microelectronics","st.com/content/st_com/en.html",1,0,0,1,23546,"FirmSize.LARGE_FIRM",0,1,24857,24857,1998,16,1,1.25,2,2.25,5,13,50,42,44,23,184,38,9,9,59,50,66,3,15,68,45,12,0,11.375,0.0767526875
"Stablcor Technology","Stablcor Technology","Stablcor Technology","stablcor.com/",1,0,0,1,5,"FirmSize.MICRO_FIRM",1,9,9163,1018.11111111111,2012,5,1,1,1,1.8,2,1,1,0,1,1,0,0,1,0,0,0,1,0,0,2,1,1,0,2.25,-0.038621225
"STANDARD ALCOHOL COMPANY OF AMERICA","STANDARD ALCOHOL COMPANY OF AMERICA","STANDARD ALCOHOL COMPANY OF AMERICA","standardalcohol.com/#!",0,0,1,1,12,"FirmSize.SMALL_FIRM",1,3,1577697,525899,2005,6,1,1,1,3,2,1,2,2,0,0,9,0,1,0,3,6,1,0,0,1,2,1,0,4.33333333333333,0.00304390333333333
"Stanley Electric Co.","Stanley Electric Co","Stanley Electric Co","stanley.co.jp/e/",1,1,0,2,16344,"FirmSize.LARGE_FIRM",0,13,32385,2491.15384615385,1976,993,5,1.11581067472306,1,2.48237663645519,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,2,1,0,8.31627430910952,0.154784661149437
"Star Technology and Research","Star Technology and Research","Star Technology and Research","star-tech-inc.com/",0,1,0,1,2784,"FirmSize.LARGE_FIRM",0,12,72147,6012.25,2005,4,1,1,1,1.25,1,0,9,1,1,1,5,0,0,4,0,0,0,3,0,0,2,2,0,4,-0.005827425
"Starlight Energy Holdings LLC","Starlight Energy Holdings","Starlight Energy Holdings","starlightenergy.us/",0,1,0,1,1970,"FirmSize.LARGE_FIRM",0,3,13467,4489,2016,1,1,1,1,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
