,Unnamed: 0,firm_name,url,li_emps,median_gw_emps,emp_diff,max_emps,size_state,state_diff,base_domain,subsidiary_adjust,clnd_name_x,fg500_match,clnd_fg500,rank,name,emps,clnd_name_y
74,587,Illinois Tool Works,itw.com/,5604.0,50000.0,44396.0,50000.0,FirmSize.LARGE_FIRM,0,itw.com,0,Illinois Tool Works,Illinois Tool Works,Illinois Tool Works,214,Illinois Tool Works,"48,000",Illinois Tool Works
75,355,Ecolab Inc.,ecolab.com/,24443.0,48400.0,23957.0,48400.0,FirmSize.LARGE_FIRM,0,ecolab.com,1,Ecolab,Ecolab,Ecolab,215,Ecolab,"49,000",Ecolab
76,276,PPG Industries Ohio,corporate.ppg.com/Home.aspx,,47200.0,,47200.0,FirmSize.LARGE_FIRM,5,corporate.ppg.com,0,PPG Industries Ohio,PPG Industries,PPG Industries,205,PPG Industries,"47,300",PPG Industries
77,150,Baxter Healthcare SA,baxter.com/,25090.0,,,47500.0,FirmSize.LARGE_FIRM,5,baxter.com,1,Baxter Healthcare SA,Baxter International,Baxter,286,Baxter International,"50,000",Baxter
79,1199,Taiwan Semiconductor Manufacturing Company,tsmc.com/english/default.htm,9.0,46968.0,46959.0,9.0,FirmSize.LARGE_FIRM,4,tsmc.com,0,Taiwan Semiconductor Manufacturing Company,Taiwan Semiconductor Manufacturing,Taiwan Semiconductor Manufacturing,363,Taiwan Semiconductor Manufacturing,"48,752",Taiwan Semiconductor Manufacturing
80,327,Dow Global Technologies Inc.,dow.com/en-us,6.0,,,46200.0,FirmSize.LARGE_FIRM,1,dow.com,1,Dow Global,SP Global,SP Global,470,S&P Global,"21,200",SP Global
81,331,Dow Corning Corporation,dow.com/en-us/dow-corning-integration,35616.0,46200.0,10584.0,46200.0,FirmSize.LARGE_FIRM,0,dow.com,1,Dow Corning,Corning,Corning,279,Corning,"51,500",Corning
82,582,Quest Diagnostics Investments Incorporated,ir.questdiagnostics.com/,20531.0,45000.0,24469.0,45000.0,FirmSize.LARGE_FIRM,0,ir.questdiagnostics.com,0,Quest Diagnostics Investments,Quest Diagnostics,Quest Diagnostics,404,Quest Diagnostics,"46,000",Quest Diagnostics
83,646,LG Electronics Inc.,lg.com/us,44484.0,,,44484.0,FirmSize.LARGE_FIRM,5,lg.com,0,LG Electronics,LG Electronics,LG Electronics,185,LG Electronics,"72,600",LG Electronics
84,339,E. I. du Pont de Nemours and Company,dupont.com/,33909.0,,,44000.0,FirmSize.LARGE_FIRM,5,dupont.com,1,E I du Pont de Nemours and Company,DuPont de Nemours,DuPont de Nemours,35,DuPont de Nemours,"98,000",DuPont de Nemours
