firm name,url,LinkedIn employees,LinkedIn url,LinkedIn matched name,jaro-winkler distance result
Arpin Renewable Energy,arpingroup.com/,30,https://www.linkedin.com/company/arpin-group-inc-,"Arpin Group, Inc.",16
Arrowhead Center,arrowheadcenter.nmsu.edu/,10,https://www.linkedin.com/company/arrowhead-center-inc,Arrowhead Center Inc,4
Astech,astech.com/,3,https://www.linkedin.com/company/astech-id,Astech Dunia Telekomunika,19
AstenJohnson,astenjohnson.com/,519,https://www.linkedin.com/company/astenjohnson,AstenJohnson,0
Astex Pharmaceuticals,astx.com/,150,https://www.linkedin.com/company/astex-pharmaceuticals,Astex Pharmaceuticals (US),5
Atom Nanoelectronics,atomoe.com/,6,https://www.linkedin.com/company/atom-nanoelectronics,Atom Nanoelectronics,0
Atonometrics,atonometrics.com/,8,https://www.linkedin.com/company/atonometrics,Atonometrics,0
Aurrion,asurion.com/,9,https://www.linkedin.com/company/aurrion,"Aurrion, Inc.",6
Aushon Biosystems,aushon.com/,20,https://www.linkedin.com/company/aushon-biosystems,Aushon,11
Auterra,auterrainc.com/,8,https://www.linkedin.com/company/auterra-inc.,"Auterra, Inc.",6
Autonomic Materials,autonomicmaterials.com/,11,https://www.linkedin.com/company/autonomic-materials-inc-,"Autonomic Materials, Inc.",6
Avalanche Technology,avalanche-technology.com/,32,https://www.linkedin.com/company/avalanche-technology-inc-,Avalanche Technology Inc.,5
Avertech,avertech.com.sg/,50,https://www.linkedin.com/company/avertec-&-speedcom,Avertec - Franchise of O2 Telefonica UK,32
Avon Products,avon.com/,71650,https://www.linkedin.com/company/avon,Avon,9
Babcock Power Services,babcockpower.com/,463,https://www.linkedin.com/company/babcock-power,Babcock Power,9
Becton,bd.com/,24087,https://www.linkedin.com/company/bd1,BD,5
Bemis Company,bemis.com/,4038,https://www.linkedin.com/company/bemis-company-inc-,"Bemis Company, Inc.",6
Bestway,bestwaycorp.us/,,https://www.linkedin.com/help/testing/answer/3022,Viewing New Connections and Contacts,36
Big Belly Solar,bigbelly.com/,62,https://www.linkedin.com/company/bigbelly-solar,Bigbelly,11
Bio-Rad Laboratories,bio-rad.com/,6983,https://www.linkedin.com/company/bio-rad,Bio-Rad Laboratories,0
BioNano Genomics,bionanogenomics.com/,83,https://www.linkedin.com/company/bionano-genomics-inc-,"Bionano Genomics, Inc.",7
Biocare Medical,biocare.net/,204,https://www.linkedin.com/company/biocare-medical,Biocare Medical,0
Biogenic Reagents Ventures,biogenicreagents.com/,,https://www.linkedin.com/userp/title/equipment-operator/wausau,Equipment Operator in Wausau,25
Biological Dynamics,biologicaldynamics.com/,33,https://www.linkedin.com/company/biological-dynamics-inc-,Biological Dynamics,0
Biotechnology Foundation,cabiotech.org/,,https://www.linkedin.com/company/california-biotechnology-foundation,California Biotechnology Foundation,34
Bird-B-Gone,birdbgone.com/,20,https://www.linkedin.com/company/bird-b-gone-inc,"Bird B Gone, Inc",7
Bisco,biscoind.com/,28,https://www.linkedin.com/company/bisco,BISCO,4
Blue Sea Systems,bluesea.com/,41,https://www.linkedin.com/company/blue-sea-systems,Blue Sea Systems,0
Bostik,bostik.com/us/,2437,https://www.linkedin.com/company/bostik,Bostik,0
Braun Intertec Geothermal,braunintertec.com/,796,https://www.linkedin.com/company/braun-intertec-corporation,Braun Intertec Corporation,11
Bridgelux,bridgelux.com/,149,https://www.linkedin.com/company/bridgelux-inc-_2,"Bridgelux, Inc.",6
Bruin Biometrics,bruinbiometrics.com/us/,21,https://www.linkedin.com/company/bruin-biometrics-llc,"Bruin Biometrics, LLC",5
Buckman Laboratories International,buckman.com/,50,https://www.linkedin.com/company/buckman-laboratories-limited,BUCKMAN LABORATORIES LIMITED,25
Building Envelope Innovations,wet-flash.com/,3,https://www.linkedin.com/company/building-envelope-innovations-llc,BUILDING ENVELOPE INNOVATIONS LLC,28
CAPAT,,387,https://www.linkedin.com/company/pwc_romania,PwC Romania,11
CMC ICOS BIOLOGICS,agcbio.com/,670,https://www.linkedin.com/company/agcbiologics,AGC Biologics,16
CP Kelco U.S.,cpkelco.com/,1238,https://www.linkedin.com/company/cp-kelco,CP Kelco,3
CUMMINS FILTRATION IP,cumminsfiltration.com/,141,https://www.linkedin.com/company/cummins-filtration-inc.,Cummins Filtration Inc.,18
CYBERCITY 3D,cybercity3d.com/,13,https://www.linkedin.com/company/cybercity3dinc,"CyberCity 3D, Inc.",13
Cadence Design Systems,cadence.com/,6465,https://www.linkedin.com/company/cadence-design-systems,Cadence Design Systems,0
Calient Technologies,calient.net/,85,https://www.linkedin.com/company/calient-technologies-inc-,CALIENT Technologies Inc.,11
Calysta,calysta.com/,18,https://www.linkedin.com/company/calysta-nv,CALYSTA NV,9
Cambridge Electronics,cambridgeelectronics.com/,16,https://www.linkedin.com/company/cambridge-electronic-industries-limited,CAMBRIDGE ELECTRONIC INDUSTRIES,28
Canon Nanotechnologies,cnt.canon.com/,77,https://www.linkedin.com/company/canon-nanotechnologies,Canon Nanotechnologies,0
Carbon3D,carbon3d.com/,465,https://www.linkedin.com/company/carbon,Carbon,2
Cardiva Medical,cardivamedical.com/,119,https://www.linkedin.com/company/cardiva-medical,Cardiva Medical,0
Carestream Health,carestream.com/en/us,4793,https://www.linkedin.com/company/carestream-health,Carestream,7
Caribou Biosciences,cariboubio.com/,59,https://www.linkedin.com/company/caribou-biosciences,Caribou Biosciences,0
Carver Scientific,carversci.com/,11,https://www.linkedin.com/company/carver-scientific-inc,"Carver Scientific, Inc.",6
Casio Computer Co.,world.casio.com/,139,https://www.linkedin.com/company/casio-computer-co.-ltd,"CASIO COMPUTER CO., LTD",18
Cavium,cavium.com/,1140,https://www.linkedin.com/company/cavium-inc,Cavium Inc,4
CellPrint IP Holding,cellprintbiotechnology.com/,,,,
Ceramatec,ceramtec.com/,61,https://www.linkedin.com/company/ceramatec-inc.,"Ceramatec, Inc.",6
Chemtreat,chemtreat.com/,1000,https://www.linkedin.com/company/chemtreat-inc-,ChemTreat,1
Christie Digital Systems,christiedigital.com/en-us/,1167,https://www.linkedin.com/company/christie-digital-systems,Christie Digital Systems,0
Chromalox,chromalox.com/,465,https://www.linkedin.com/company/chromalox,Chromalox,0
Cisco Technology,cisco.com/,86295,https://www.linkedin.com/company/cisco,Cisco,11
Claret Medical,claretmedical.com/,47,https://www.linkedin.com/company/claret-medical,Claret Medical now a part of Boston Scientific,32
Clean Energy Labs,cleanenergylabs.com/,,https://www.linkedin.com/company/eurolab-pv,Eurolab - clean energy laboratory,33
Clearside Biomedical,clearsidebio.com/,56,https://www.linkedin.com/company/clearside-biomedical-inc-,"Clearside Biomedical, Inc.",6
Codexis,codexis.com/,200,https://www.linkedin.com/company/codexis,"Codexis, Inc.",6
Coleman Cable,colemancables.com/,178,https://www.linkedin.com/company/coleman-cable-inc.,"Coleman Cable, Inc.",6
Combined Energies,combined-energies.com/,43,https://www.linkedin.com/company/combined-energy-solutions-limited,Combined Energy Solutions Limited,19
Complete Genomics,completegenomics.com/,196,https://www.linkedin.com/company/complete-genomics-inc-,Complete Genomics Inc.,5
Conexant Systems,synaptics.com/,46,https://www.linkedin.com/company/conexant-systems-inc.,Conexant Systems Inc.,5
Confluence Energy,confluenceenergy.com/,14,https://www.linkedin.com/company/confluence-energy,Colorado Timber Resources,21
Continental Manufacturing,continentalcommercialproducts.com/,9,https://www.linkedin.com/company/trans-continental-manufacturing-inc.,"TRANS CONTINENTAL MANUFACTURING, INC.",37
Cool Planet Energy Systems,coolplanet.com/,103,https://www.linkedin.com/company/cool-planet-energy-systems,Cool Planet,15
Copernicus Therapeutics,cgsys.com/,5,https://www.linkedin.com/company/copernicus-therapeutics-inc,"Copernicus Therapeutics, Inc.",6
Coriant Advanced Technology,coriant.com/,1380,https://www.linkedin.com/company/coriant-optical-networks,"Coriant, Inc.",20
Cornell Research Foundation,cornell.edu/research/,6529,https://www.linkedin.com/company/weill-cornell-medicine,Weill Cornell Medicine,26
Courtagen Life Sciences,courtagen.com/,19,https://www.linkedin.com/company/courtagen-life-sciences-inc-,"Courtagen Life Sciences, Inc.",6
Cree,cree.com/,2975,https://www.linkedin.com/company/cree,Cree,0
Cross Match Technologies,crossmatch.com/,294,https://www.linkedin.com/company/crossmatch,Crossmatch,19
Crossbar,crossbar-inc.com/en/,73,https://www.linkedin.com/company/crossbar-inc,Crossbar Inc.,5
Cura Vac,curavac.com/,6,https://www.linkedin.com/company/cesvima,CeSViMa,6
Cyberonics,livanova.cyberonics.com/,2114,https://www.linkedin.com/company/livanova,LivaNova,9
CyboEnergy,cyboenergy.com/,2,https://www.linkedin.com/company/cyboenergy-inc.,"CYBOENERGY, INC.",14
DHPC TECHNOLOGIES,dhpctech.com/,145,https://www.linkedin.com/company/dhpc,DHPC Technologies Inc.,16
DNA Twopointo,atum.bio/,34,https://www.linkedin.com/company/dna-group-inc,"DNA Group, Inc.",10
DNA2.0,atum.bio/,23,https://www.linkedin.com/company/dna2-0,DNA2.0 (now ATUM),13
DRS Network & Imaging Systems,leonardodrs.com/,3567,https://www.linkedin.com/company/drs-defense-solutions-llc,Leonardo DRS,29
Da Yu Enterprises,dayuenterprises.com/,,https://www.linkedin.com/company/dayu-water-saving-group-co-.ltd,"Dayu Water-saving Group Co., Ltd.",31
Daikin Industries,daikin.com/,91,https://www.linkedin.com/company/daikin-industries,Daikin Reefer,10
Daylight Solutions,daylightsolutions.com/,118,https://www.linkedin.com/company/daylight-solutions,Daylight Solutions,0
DePuy Synthes Products,depuysynthes.com/,8968,https://www.linkedin.com/company/depuysynthes,DePuy Synthes Companies,9
Deep Science,deepscience.ai/,38,https://www.linkedin.com/company/deep-science-ventures,Deep Science Ventures,9
Delta Electronics,deltaww.com/,19,https://www.linkedin.com/company/deltaelectronicssoutheastasia,Delta Electronics Southeast Asia,15
Dermazone Solutions,dermazone.com/,10,https://www.linkedin.com/company/dermazonesolutions,"Dermazone Solutions, Inc.",6
Diamond Innovations,hyperionmt.com/,25,https://www.linkedin.com/company/diamond-technologies-incorporated,Diamond Technology Innovations,22
Disney Enterprises,thewaltdisneycompany.com/,3,https://www.linkedin.com/company/disney-enterprise-information-security,Disney Enterprise Information Security,21
Domtar Paper Company,domtar.com/en,4036,https://www.linkedin.com/company/domtar,Domtar,14
Dynamic Solutions Worldwide,dynatrap.com/,23,https://www.linkedin.com/company/dynamic-solutions-worldwide,"Dynamic Solutions Worldwide, LLC",5
ESCAPE THERAPEUTICS,escapetherapeutics.com/,16,https://www.linkedin.com/company/body-ache-escape-massage-center,Body Ache Escape Massage Center,31
Easel Biotechnologies,easelbio.com/,7,https://www.linkedin.com/company/snow-hill-country-club,Snow Hill Country Club,21
Echogen Power Systems,echogen.com/,21,https://www.linkedin.com/company/echogen-power-systems,Echogen Power Systems,0
Ecovative Design,ecovativedesign.com/,40,https://www.linkedin.com/company/ecovative-design,Ecovative,7
Egenera,egenera.com/,137,https://www.linkedin.com/company/egenera,Egenera,0
Eisai Co.,eisai.com/index.html,2661,https://www.linkedin.com/company/eisai,Eisai US,2
ElectraTherm,electratherm.com/,24,https://www.linkedin.com/company/electratherm-inc,ElectraTherm,0
Electronic Warfare Associates,ewa.com/,354,https://www.linkedin.com/company/ewa,Electronic Warfare Associates (EWA),6
Element One,elementonescreens.com/,17,https://www.linkedin.com/company/one-element-group-ltd,One Element Group Limited,23
Elenion Technologies,elenion.com/,59,https://www.linkedin.com/company/elenion-technologies,Elenion Technologies,0
Energen,energen.com/,2,https://www.linkedin.com/company/energengroup,"ENERGEN, CHP energy provider",27
Energysolutions,energysolutions.com/,20,https://www.linkedin.com/company/cherry-energy-solutions,Cherry Energy Solutions,20
Enginuity Worldwide,enginuityww.webstarts.com/,4,https://www.linkedin.com/company/enginuity-worldwide-llc,Enginuity Worldwide LLC,4
Englewood Lab,englewoodlab.com/,90,https://www.linkedin.com/company/englewood-lab-llc,Englewood Lab,0
Ensyn Renewables,ensyn.com/,31,https://www.linkedin.com/company/ensyn,Ensyn,11
Entegris,entegris.com/,2625,https://www.linkedin.com/company/entegris,Entegris,0
Envision Solar International,envisionsolar.com/,30,https://www.linkedin.com/company/envision-solar,Envision Solar,0
Epizyme,epizyme.com/,143,https://www.linkedin.com/company/epizyme,Epizyme,0
Ethicon Endo-Surgery,ethicon.com/,8,https://www.linkedin.com/company/ethicon,"Ethicon, Inc.",13
Ethox Chemicals,blog.ethox.com/,72,https://www.linkedin.com/company/ethox-chemicals-llc,Ethox Chemicals,0
Everspin Technologies,everspin.com/,123,https://www.linkedin.com/company/everspin-technologies,Everspin Technologies,0
Express Imaging Systems,eiscallcenter.com/,6,https://www.linkedin.com/company/express-imaging-systems,Express Imaging Systems,0
Extech/Exterior Technologies,extechinc.com/,28,https://www.linkedin.com/company/extech-inc,"EXTECH/Exterior Technologies, Inc.",11
FLIR Systems,flir.com/,2796,https://www.linkedin.com/company/flir-systems/jobs,FLIR Systems: Jobs,6
FULL CIRCLE BIOCHAR,fullcirclebiochar.com/,2,https://www.linkedin.com/company/full-circle-biochar,Full Circle Biochar,14
Faurecia Interior Systems,faurecia.com/en,71,https://www.linkedin.com/company/faurecia-interior-systems-bohemia-s-r-o-,Faurecia Interior Systems Bohemia S.R.O.,15
Fina Technology,finatg.com/,65,https://www.linkedin.com/company/fina-technologies,Fina Technologies,3
First Solar,firstsolar.com/,3227,https://www.linkedin.com/company/first-solar,First Solar,0
Ford Global Technologies,corporate.ford.com/innovation.html,3,https://www.linkedin.com/company/maritimeglobaltechnologies,Maritime Global Technologies Innovation Center,44
Forest Concepts,forestconcepts.com/,11,https://www.linkedin.com/company/forest-concepts,FOREST CONCEPTS,12
Foret Plasma Labs,plasmawhirl.com/,3,https://www.linkedin.com/company/foret-plasma-labs-llc,"FORET PLASMA LABS, LLC",17
Formula Plastics,formulaplastics.com/,18,https://www.linkedin.com/company/formula-plastics-limited,Formula Plastics Limited,8
Freescale Semiconductor,nxp.com/,8324,https://www.linkedin.com/company/freescale-semiconductor,NXP acquires Freescale Semiconductor,35
Fuji Electric Co.,fujielectric.com/,158,https://www.linkedin.com/company/fuji-electric-corp--of-america,Fuji Electric Corp. of America,14
Fuji Xerox Co.,fujixerox.com/eng,2480,https://www.linkedin.com/company/fuji-xerox,Fuji Xerox,3
Furukawa Electric Co.,furukawa.co.jp/en/,209,https://www.linkedin.com/company/furukawa-electric-co.-ltd.,"Furukawa Electric Co., Ltd.",7
FutureWei Technologies,huawei.com/us/,305,https://www.linkedin.com/company/futurewei-technologies,FutureWei Technologies,0
GED Intergrated Solution,gedusa.com/,106,https://www.linkedin.com/company/ged-integrated-solutions,GED Integrated Solutions,16
GOJO Industries,gojo.com/,1296,https://www.linkedin.com/company/gojo-industries,GOJO Industries,0
GOSOLARLIFE,gosolarlife.com/,,,,
GROW ENERGY,growenergy.org/,3,https://www.linkedin.com/company/grow-energy-showroom,Grow Energy Showroom,17
GTherm,gtherm.net/,23,https://www.linkedin.com/company/gtherm-inc.,"GTherm, Inc.",6
Galectin Therapeutics,galectintherapeutics.com/,50,https://www.linkedin.com/company/galectin-therapeutics,Galectin Therapeutics,0
GangaGen,gangagen.com/,60,https://www.linkedin.com/company/gangagen-inc,"GangaGen, Inc",5
Gardner-Gibson,gardner-gibson.com/,92,https://www.linkedin.com/company/gardner-gibson-inc-,"Gardner-Gibson, Inc.",6
Garland Industries,garlandco.com/,26,https://www.linkedin.com/company/the-garland-company-uk,The Garland Company UK Limited,28
Gemex Systems,gemex.com/,22,https://www.linkedin.com/company/gemex,"GemEx Systems, Inc.",7
Genentech,gene.com/,21635,https://www.linkedin.com/company/genentech/jobs,Genentech: Jobs,6
Genisphere,genisphere.com/,19,https://www.linkedin.com/company/genisphere,Genisphere,0
Genomatica,genomatica.com/,122,https://www.linkedin.com/company/genomatica,Genomatica,0
Genomic Health,genomichealth.com/,983,https://www.linkedin.com/company/genomic-health,Genomic Health,0
Gilead Connecticut,gileadcs.org/,2,https://www.linkedin.com/company/gilead-congregational-church,Gilead Congregational Church,18
Gilead Sciences,gilead.com/,11034,https://www.linkedin.com/company/gilead-sciences/jobs,Gilead Sciences: Jobs,6
GlassPoint Solar,glasspoint.com/,202,https://www.linkedin.com/company/glasspoint-solar,GlassPoint Solar,0
GlaxoSmithKline Biologicals,gsk.com/,26,https://www.linkedin.com/company/glaxosmithkline-biologicals-s.a.,Glaxosmithkline Biologicals S.A.,7
Global Solar Water Power Systems,gswps.com/,8,https://www.linkedin.com/company/globalpowersystems-gmbh,Global Power Systems,22
Globus Medical,globusmedical.com/,1371,https://www.linkedin.com/company/globus-medical,Globus Medical,0
Gracenote,gracenote.com/,4,https://www.linkedin.com/company/gracenote,Gracenote,0
Gram Power,grampower.com/about-us/,54,https://www.linkedin.com/company/gram-power-inc,Gram Power Inc,4
Graphene Technologies,graphenetechnologies.com/,4,https://www.linkedin.com/company/global-graphene-technologies,Global Graphene Technologies,26
Great American Duck Races,demingduckrace.com/,28,https://www.linkedin.com/company/great-american-merchandise-and-events,Great American Merchandise and Events,21
Green Box Batteries,biggreenbox.com/,9,https://www.linkedin.com/company/greenbox-technologies-pte-ltd,Greenbox Technologies,16
Green Solar Transportation,greensolartransport.com/,130,https://www.linkedin.com/company/green-solar-technologies,Green Solar Technologies,13
Greyrock Energy,greyrock.com/,32,https://www.linkedin.com/company/greyrock,Greyrock,7
HARMAN INTERNATIONAL INDUSTRIES,harman.com/,12240,https://www.linkedin.com/company/harman-international,HARMAN International,12
HIQ SOLAR,hiqsolar.com/,16,https://www.linkedin.com/company/hiq-solar-inc-,HiQ Solar,5
HM3 Energy,hm3energy.com/,3,https://www.linkedin.com/company/hm3-energy-inc.,"HM3 Energy, Inc.",6
HNO Greenfuels,hnogreenfuels.com/,5,https://www.linkedin.com/company/hno-green-fuels,HNO Green Fuels,6
HRL Laboratories,hrl.com/,483,https://www.linkedin.com/company/hrl-laboratories,"HRL Laboratories, LLC",5
Handstand Innovations,messagewrap.com/,7,https://www.linkedin.com/company/handstand-innovations,Handstand Innovations,0
Headway Technologies,headway.com/,283,https://www.linkedin.com/company/headway-technologies,Headway Technologies,0
Heliae Development,heliae.com/,68,https://www.linkedin.com/company/heliae,Heliae,12
Hitachi Metals,hitachimetals.com/,267,https://www.linkedin.com/company/hitachi-metals,"Hitachi Metals America, Ltd.",14
Hitachi,hitachi.com/,4924,https://www.linkedin.com/company/hitachi-consulting,Hitachi Consulting,11
Hollywood Trucks,hollywoodtrucksllc.com/,13,https://www.linkedin.com/company/hollywood-trucks,Hollywood Trucks,0
Honda Motor Co.,honda.com/,7979,https://www.linkedin.com/company/american-honda-motor-company-inc-,"American Honda Motor Company, Inc.",34
IDEA TREE,ideatreepromos.com/,,https://www.linkedin.com/company/idea-tree-solutions,Idea Tree Solutions,16
IMRA America,imra.com/,91,https://www.linkedin.com/company/imra-america-inc.,"IMRA America, Inc.",6
INTEVAC,intevac.com/,261,https://www.linkedin.com/company/intevac,Intevac,6
ITN Energy Systems,itnes.com/,28,https://www.linkedin.com/company/itn-energy-systems,ITN Energy Systems,0
Ignis Innovation,ignisinnovation.com/,32,https://www.linkedin.com/company/ignis-innovation-inc.,IGNIS Innovation Inc.,9
Illinois Tool Works,itw.com/,5526,https://www.linkedin.com/company/itw,ITW,18
Immunolight,immunolight.com/,2,https://www.linkedin.com/company/immunolight,"Immunolight, LLC",5
Inaeris Technologies,inaeristech.com/,9,https://www.linkedin.com/company/inaeris-technologies,Inaeris Technologies,0
Innovation Hammer,ihammerllc.com/,125,https://www.linkedin.com/company/innovative-aftermarket-systems,Innovative Aftermarket Systems,21
Inphenix,inphenix.com/,34,https://www.linkedin.com/company/inphenix-inc.,"INPHENIX, Inc.",13
Integrated DNA Technologies,idtdna.com/,865,https://www.linkedin.com/company/integrated-dna-technologies,Integrated DNA Technologies,0
Integrated Device Technology,idt.com/,1912,https://www.linkedin.com/company/integrated-device-technology-inc,"IDT - Integrated Device Technology, Inc.",39
Integrated Solar Technology,suntegrasolar.com/,2,https://www.linkedin.com/company/integrated-solar-technologies,Integrated Solar Technologies,3
Interez,interez.sk/,,https://www.linkedin.com/title/internship-at-pixomondo,Internship at Pixomondo,18
Intermolecular,intermolecular.com/,135,https://www.linkedin.com/company/intermolecular,Intermolecular,0
Intuitive Surgical Operations,intuitive.com/,4566,https://www.linkedin.com/company/intuitive-surgical/jobs,Intuitive: Jobs,20
Inventus Holdings,inventusholdings.com/,338,https://www.linkedin.com/company/inventus-power,Inventus Power,7
Ion Power Group,ionpowergroup.com/,6,https://www.linkedin.com/company/ion-power-group-llc,Ion Power Group LLC,4
Isis Pharmaceuticals,ionispharma.com/,543,https://www.linkedin.com/company/ionis-pharmaceuticals,"Ionis Pharmaceuticals, Inc.",26
J. E. WHITE,jewhites.com.au/,4,https://www.linkedin.com/company/je-tomes-&-associates,JE Tomes & Associates,20
Janssen Biotech,janssen.com/,7169,https://www.linkedin.com/company/janssencanada,Janssen Inc.,7
