,firm,lookup_firm,lookup_firm_web,firm_length,name_clnd,name_length,manual_fix,hit_url,hit_url_length,rank,matches,public,acquired_merged,Votes,Group,nano,green,synbio,count_all_ind,max_emps,size_state,sme,pages,num_words,avg_words_per_page,first_year,num_patents_all,num_patents_3,mean_assignees_all,mean_assignees_3,mean_inventors_all,mean_inventors_3,has_emps,has_url,has_web_content,log_num_patents_all,log_max_emps,num_industries
10,Abbott Molecular Inc.,Abbott Molecular,Abbott Molecular,16.0,Abbott Molecular | Diagnostic Assays and Instruments,52,,molecular.abbott/,29,1,2,0,0,5,51,1,0,0,1,99000.0,FirmSize.LARGE_FIRM,0,22.0,253065.0,11502.954545454499,2014.0,24.0,2.0,1.16666666666667,1.5,3.4166666666666696,5.0,1.0,1,1,3.2188758248682006,11.502885230075814,1
11,Abbott Point of Care Inc.,Abbott Point of Care,Abbott Point of Care,20.0,Abbott Point of Care | i-STAT System & Piccolo Xpress,53,,pointofcare.abbott/us/en/home,41,1,4,0,0,3,52,0,0,1,1,0.0,FirmSize.UNDEFINED,1,27.0,324544.0,12020.1481481481,2009.0,145.0,1.0,1.0,1.0,3.4896551724137903,2.0,,1,1,4.983606621708336,0.0,1
12,AbbVie Inc.,AbbVie,AbbVie,6.0,AbbVie Inc. - Official Site,27,,abbvie.com/,23,1,1,0,0,5,49,0,0,1,1,29000.0,FirmSize.LARGE_FIRM,0,92.0,1165311.0,12666.423913043502,1981.0,554.0,14.0,1.14620938628159,1.0,7.50361010830325,6.71428571428571,1.0,1,1,6.318968113746434,10.275085591132715,1
13,Abengoa Bioenergy New Technologies,Abengoa Bioenergy New Technologies,Abengoa Bioenergy New Technologies,34.0,Abengoa - Official Site,23,,abengoa.com/,23,1,1,0,0,5,53,0,1,0,1,5799.0,FirmSize.LARGE_FIRM,0,20.0,62236.0,3111.8,2013.0,16.0,2.0,1.0,1.0,2.5,2.0,1.0,1,1,2.833213344056216,8.66561319653451,1
14,ABL IP Holding LLC,ABL IP Holding,ABL IP Holding,14.0,ABL IP Holding LLC: Private Company Information - Bloomberg,59,1.0,,82,1,3,0,0,0,8,1,0,0,1,0.0,FirmSize.UNDEFINED,1,,,,2007.0,435.0,1.0,1.00689655172414,1.0,2.83448275862069,2.0,,0,0,6.077642243349034,0.0,1
15,Ablexis,Ablexis,Ablexis,7.0,"Ablexis A superior, next generation transgenic mouse ...",56,,ablexis.com/,23,1,1,0,0,5,54,0,0,1,1,2.0,FirmSize.MICRO_FIRM,1,7.0,16995.0,2427.85714285714,2016.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1,1,1.0986122886681098,1.0986122886681098,1
16,Abraxis Bioscience,Abraxis Bioscience,Abraxis Bioscience,18.0,Celgene - Official Site,23,1.0,,24,2,0,0,1,2,55,1,0,0,1,2000.0,FirmSize.LARGE_FIRM,0,,,,2008.0,58.0,8.0,1.01724137931034,1.0,2.8275862068965503,2.5,1.0,0,0,4.07753744390572,7.601402334583733,1
17,AC International Inc.,AC,AC,21.0,AC Inter,8,,acinter.com/,23,1,1,0,0,5,9,1,0,0,1,11.0,FirmSize.SMALL_FIRM,1,6.0,7082.0,1180.33333333333,1979.0,455.0,4.0,1.0241758241758199,1.0,2.5626373626373598,3.25,1.0,1,1,6.1224928095143865,2.4849066497880004,1
18,ACACIA RESEARCH GROUP LLC,ACACIA RESEARCH GROUP,ACACIA RESEARCH GROUP,21.0,Acacia Research - Official Site,31,,acaciaresearch.com/,26,1,2,1,0,5,10,1,0,0,1,13.0,FirmSize.SMALL_FIRM,1,12.0,146924.0,12243.666666666699,2012.0,3.0,1.0,1.0,1.0,2.6666666666666696,4.0,1.0,1,1,1.3862943611198906,2.6390573296152584,1
19,Access Business Group International LLC,Access Business Group,Access Business Group,21.0,Home Page - Access Business Group,33,,accessbusinessgroup.com/,36,1,3,0,0,5,56,0,0,1,1,1850.0,FirmSize.LARGE_FIRM,0,13.0,55372.0,4259.384615384621,2002.0,445.0,1.0,1.0044943820224699,1.0,3.37752808988764,11.0,1.0,1,1,6.100318952020064,7.523481312573497,1
20,AccuRay Corporation,AccuRay,AccuRay,7.0,Accuray Inc - Official Site,27,,accuray.com/,24,1,1,0,0,5,57,0,1,0,1,988.0,FirmSize.LARGE_FIRM,0,44.0,1189721.0,27039.1136363636,1981.0,190.0,1.0,1.02105263157895,2.0,2.6736842105263197,4.0,1.0,1,1,5.25227342804663,6.8966943316227125,1
21,Accuri Cytometers,Accuri Cytometers,Accuri Cytometers,17.0,BD ACCURI C6 PLUS - overview | BD Biosciences-US,48,1.0,bdbiosciences.com/us/instruments/research/cell-analyzers/bd-accuri/m/1294932/overview,96,1,1,0,0,0,58,1,0,0,1,10.0,FirmSize.SMALL_FIRM,1,15.0,281724.0,18781.6,2008.0,31.0,1.0,1.0,1.0,2.03225806451613,1.0,1.0,1,1,3.4657359027997265,2.3978952727983707,1
22,ACell,ACell,ACell,5.0,ACell - Official Site,21,,acell.com/,18,1,1,0,0,5,12,0,0,1,1,376.0,FirmSize.US_MEDIUM_FIRM,1,48.0,349150.0,7273.95833333333,2003.0,32.0,2.0,1.0,1.0,1.9375,3.0,1.0,1,1,3.4965075614664802,5.932245187448011,1
23,Acer Incorporated,Acer,Acer,4.0,Acer Inc. - Official Site,25,,acer.com/ac/en/US/content/home,42,1,1,0,0,1,59,0,1,0,1,0.0,FirmSize.UNDEFINED,1,56.0,333247.0,5950.83928571429,1976.0,749.0,1.0,1.11348464619493,1.0,2.1615487316421897,1.0,,1,1,6.620073206530356,0.0,1
24,Achushnet Company,Acushnet Company,Achushnet Company,17.0,Acushnet Golf,13,,acushnetgolf.com/,29,2,0,0,0,3,60,0,0,0,0,5228.0,FirmSize.LARGE_FIRM,0,3.0,1717.0,572.333333333333,1976.0,2386.0,3.0,1.0016764459346201,1.0,2.80134115674769,2.3333333333333304,1.0,1,1,7.77779262633883,8.56197533418813,0
25,Acorn Technologies,Acorn Technologies,Acorn Technologies,18.0,Acorn Technologies,18,,acorntech.com/,21,1,2,0,1,5,61,1,1,0,2,51.0,FirmSize.EU_MEDIUM_FIRM,1,27.0,108814.0,4030.14814814815,1989.0,78.0,5.0,1.0,1.6666666666666698,2.52564102564103,6.0,1.0,1,1,4.3694478524670215,3.9512437185814275,2
26,ACUCELA INC.,ACUCELA,ACUCELA,7.0,Acucela - Official Site,23,,acucela.com/,24,1,1,0,0,5,11,1,0,0,1,52.0,FirmSize.EU_MEDIUM_FIRM,1,9.0,11448.0,1272.0,1989.0,44.0,1.0,1.09090909090909,1.0,4.65909090909091,4.0,1.0,1,1,3.8066624897703196,3.970291913552122,1
27,Adaptive Biotechnologies Corp.,Adaptive Biotechnologies Corp,Adaptive Biotechnologies Corp,29.0,Adaptive Biotechnologies,24,,adaptivebiotech.com/,32,1,2,0,0,3,62,0,0,1,1,290.0,FirmSize.US_MEDIUM_FIRM,1,50.0,856341.0,17126.82,2015.0,15.0,1.0,1.06666666666667,1.0,3.6,2.0,1.0,1,1,2.772588722239781,5.673323267171493,1
