Atrenta Inc
Axikin Pharmaceuticals Inc
Aximet Technology Inc
AxioMx Inc
Axiom Analytical Inc
Axion Power International Inc
Axis SpA
Axis USA Inc
Axletech International IP Holdings LLC
Axon Engineering Inc
Axsun Technologies Inc
Axway Inc
Axxess Technologies Inc
Axxia Technologies
Aydin Display Inc
Azima Holdings Inc
Azimuth Corporation
Azna LLC
Azotic Coating Technology Inc
Azul Systems Inc
Azuray Inc
Azure Dynamics Inc
Azure Waves Seafood Inc
B & B Organic Composite and Soils Inc
B & B Solid Waste Solutions Inc 
B & H Manufacturing Company Inc
B & P Technologies Inc
B & W Nuclear Technologies
B Braun Medical Inc
B Braun Melsungen AG
B F Goodrich Flight Systems Inc
B Green Innovations Inc
B J Services Company 
B&D Molding Products Inc
B&J Rocket America Inc
B&M Precision Inc
B&P Process Equipment and Systems LLC
B&W Fuel Company
B&W Nuclear Service Company
B&W Nuclear Technologies Inc
B-Bar-B Inc
B-K Lighting Inc
B/E Aerospace Inc
B6 Sigma Inc
BAC-OFF Corporation
BAE Industries Inc
BAE SYSTEMS PLC
BAE Systems Controls Inc
BAE Systems Information Solutions Inc
BAE Systems Information and Electronic Systems Integration Inc
BAE Systems Integrated Defense Solutions Inc
BAE Systems Tensylon HPM Inc
BAF Industries
BANDIT INDUSTRIES INC
BARDWELL & MCALISTER INC
BARFRESH INC
BASF
BASF AG
BASF Aktiengesellschaft
BASF Catalysts LLC
BASF Coatings GmbH
BASF Corporation 
BASF Enzymes LLC
BASF Plant Science GmbH
BASF SE
BASF Wyandotte
BASF Wyandotte Corporation
BASF-Inmont Division
BASVAH LLC
BAXALTA INCORPORATED
BB Buggies Inc
BBA Nonwovens Simpsonville Inc
BBC Brown Boveri AG
BBC International Ltd
BBJ Environmental Solutions Inc
BBN Technologies Corp
BBY Solutions Inc
BCDE  Group LLC
BCE Inc
BCR ENVIRONMENTAL CORPORATION
BCS Technology Inc
BD Heat Recovery Inc
BD Technology Partners
BDH Industries Inc
BE Intellectual Property Inc
BE POWER TECH INC
BEBOTech Corporation
BECEEM Communications Inc
BEHR America Inc
BEI Electronics Inc
BEI Incorporated
BEI Kimco Magnetics Division
BEI Technologies Inc
BENQ Corporation
BERKEN ENERGY LLC
BETTERGY CORP
BEULAHWORKS LLC
BEVARA TECHNOLOGIES LLC
BEW Squared LLC
BFGoodrich FlightSystems Inc
BFS Diversified Products LLC
BG Negev Technologies and Applications Ltd
BG Products Inc
BGI Acquisition LLC
BGK Finishing Systems Inc
BHA Altair LLC
BHA Group Holdings Inc
BHA Group Inc
BHA Technologies Inc
BHC Interim Funding III LP
BHP Minerals International Inc
BHSF Logistics LLC
BI Chemicals Inc
BIND Therapeutics Inc
BINJ Laboratories Inc
BIO Associates a California partnership
BIO Barrier Inc
BIO MED SCIENCES INC
BIOGENICS INC
BIOPROXIMITY LLC
BIOSENSE WEBSTER INC
BIOTECTIX LLC
BIOTIUM INC
BISS Product Development LLC
BISSELL Homecare Inc
BIW Cable Systems Inc
BJ Services Company LLC
BJ Services USA
BJ-Hughes Inc
BJI Energy Solutions LLC
BKI Holding Corporation
BKM Inc
BLANC VINEYARDS LLC
BLOODCENTER  RESEARCH FOUNDATION
BLR Enterprises 
BMC Vision-Ease Lens Inc
BML Productions Inc
BNSF Railway Company
BOA Athletics LLC
BOC Health Care Inc
BOC Limited
BOE Technology Group Co Ltd
BOS GmbH & Co KG
BOSTON SCIENTIFIC LIMITED
BOXX CORP
BP America
BP America Inc
BP Amoco Corporation
BP Chemicals Limited
BP Corporation North America Inc
BP Performance Polymers Inc
BP Solar International LLC
BP Solarex
BR Methods Inc
BREWJACKET INCORPORATED
BRI
BRIGHAM YOUNG UNIVERSITY
BRITE SHOT INC
BRK Brands Inc
BROADCOM CORPORATION
BROCADE COMMUNICATIONS SYSTEMS INC
BROOKLYN QUANTUM WORKS
BRP US Inc
BS&B Safety Systems Inc
BSD Corporation
BSD Medical Corporation
BSH Home Appliances Corporation
BSST LLC
BST Enterprises Inc
BT Patent LLC
BT&D Technologies Ltd
BTG International Limited
BTG Pharmaceuticals Corp
BTPATENT LLC
BTR Antivibration Systems Inc
BTS-Broadcast Television Systems Inc
BTU Engineering Corporation
BTU International
BW/IP International Inc
BWT Property Inc
BWXT mPower Inc
BX Power LLC
BYW Holdings Inc
Babcock & Wilcox Power Generation Group Inc
Babcock & Wilcox Technical Services Y-12 LLC
Babcock Entreprise
Babcock Power Environmental Inc
Babcock Power Services Inc
Bacardi Corporation
Baccaret Teledex Inc
Bacharach Inc
Bachem Biosciences Inc
Bactee System Inc
Bacterial Robotics LLC
Bactex Corporation
Bacus Research Laboratories Inc
Badger Licensing LLC
Badger Meter Inc
Badische Corporation
Baff LLC
Baffin Inc
Baffle Stove Company Inc
Bailey Burners Inc
Baird-Atomic Inc
Baker CAC Inc
Baker Cummins Pharmaceuticals Inc
Baker Hughes Corporation
Baker Hughes Inc
Baker Hughes Incorporated
Baker Instruments Corp
Baker International Corporation
Baker Oil Tools Inc
Baker-Alpha Corporation
Bakery Solutions Inc
Bal Seal Engineering Company Inc
Balachov Consulting LLC
Balanced Engines Inc
Balboa Pacific Corporation
Balboa Water Group
Balcke-Durr Aktiengesellschaft
Baldor Electric Company
Baldwin Filters Inc
Baldwin Hardware Corporation
Baldwin Piano & Organ Company
Baldwin Technology Corporation
Ball Aerospace & Technologies Corp
Ball Horticultural
Ball Horticultural Company
Ball Semiconductor Inc
Ballard Medical Products
Ballard Power Systems Corporation
Ballistic Applications and Materials International LLC
Bally Gaming Inc
Baltimore Aircoil Company Inc
Balzers Aktiengesellschaft
Bamboo Fencer Inc
Bancroft Bag Inc
Band-It-IDEX Inc
Bandgap Engineering Inc
Bandspeed Inc
Bandwidth 9 Inc
Bandwidth Unlimited Inc
Bandwidth9
Bang Zoom Design Ltd LLC
Bank of America Corporation
Banner Engineering Corp
Banner Life Sciences LLC
Banner Pharmacaps Inc 
Banpil Photonics
Bantam Engineers Limited
Bar Code Bullet Industries LLC
Bar-Co Processes Joint Venture
Baradun R&D Ltd
Barbara Thomas Enterprises Inc
Barber Manufacturing Company Inc
Barber-Colman Company
Barber-Greene Company
Barber-Webb
Barbron Corporation
Barco Inc
Barco Lighting Systems Inc
Barco NV
Barcroft Company
Barcus-Berry Inc
Bard Access Systems Inc
Bard Peripheral Vascular Inc
Barker Products
Barnard Construction Company Inc
Barnebey-Cheney Co
Barnel International Inc
Barnes Drill Co
Barnes Engineering Company
Barnes-Jewish Hospital
Barnhart Crane and Rigging Co
Barnhill Technologies LLC
Barr Fabication LLC
Barracuda Networks Inc
Barrday Inc
Barrett Enclosures Inc
Barrett Haentjens & Co
Barrette Outdoor Living Inc
Barrskogen Inc
Barry Wright Corporation
Barry-Wehmiller Company
Bartec
Bartley Machines & Manufacturing
Barto/Jordan Company Inc 
Baruch S Blumberg Institute
Bascom Global Internet Services Inc
Bascule Development AG LLC
Base Ten Systems Inc
Basell Polyolefine GmbH
Baseload Energy Inc
Basic American Inc
Basic Electronics Inc
Basic Measuring Instruments
Basin Water Inc
Baswood Inc
Baswood LLC
Batesville Casket Company Inc
Batonex Inc
Batson-Cook Company
Battchange LLC
Battelle Development Corporation
Battelle Energy Alliance LLC
Battelle Memorial Institute
Battelle Pacific N W Laboratories
Battenfeld Gloucester Engineering Co Inc
Battenfeld Technologies Inc
Battery Development Corporation
Battery Engineering Inc
Battery Patent Trust
Battery Technologies Inc
Batts Inc
Bauer Inc
Bauer Nike Hockey Inc
Bausch & Lomb Incorporated
Bausch & Lomb Surgical Inc
Bausch and Lomb Inc
Baxa Corporation
Baxter Healthcare SA
Baxter International Inc
Baxter Laboratories Inc
Baxter Travenol Laboratories Inc
Bay Microsystems Inc
Bay Mills Limited
Bay Networks Groups Inc
Bay Tek Games Inc
Bay West Paper Corporation
Bay-San Co Inc
Baychar Holdings LLC
Bayco Products Ltd
Bayer AG
Bayer Aktiengesellschaft
Bayer Corporation
Bayer Corporation (Formerly Molecular Diagnostics Inc) 
Bayer Cropscience AG
Bayer HealthCare LLC
Bayer Materialscience LLC
Bayer Medical Care Inc
Bayer Polymers LLC
Bayer Schering Pharma AG
Bayerische Motoren Werke Aktiengesellschaft
Baylor
Baylor College of Medicine
Baylor Research Institute
Bayne Machine Works Inc 
Baynetworks Inc
Baysand Inc
Bayside Controls Inc
Bayspec Inc
Bayview Technology Group Incorporated
Be Here Corporation
BeSatori LLC
BeVocal Inc
Bea Systems Inc
Beach Manufacturing Corporation
Beach Precision Parts Co
Beach Reclamation Inc
Beacon Power Corporation
Beacon Power Systems Inc
Beall Oil Company
Beam Engineering Inc
Beam Engineering for Advanced Measurements Co
BeamAlloy Corporation
Beamco Inc
Beamech Group Limited
Beane Filter Media Inc
Bear Medical Systems Inc
Bear Onsite LLC
Beatrice Foods Co
Beatrice/Hunt-Wesson Inc
Beaulieu Group LLC
Beaumont Machine Repair Inc
Beaver Aerospace & Defense Inc
Beaver Creek Concepts INC
Bebaas Inc
Bebo of America
Bechtel BWXT Idaho LLC
Bechtel Corporation 
Bechtel Group Inc
Bechtel Hydrocarbon Technology Solutions Inc
Bechtel International Corporation
Bechtel Investments Inc STA NV COD 02 ITX part interest to each 
Bechtel Power Corporation
Becker Precision Equipment Inc 
Beckman Coulter Inc
Beckman Industrial Corporation
Beckman Instruments Inc
Beckworth Davis International Inc
Beco Engineering Company
Becton Dickinson and Company
Bedini Technology Inc
Bedloe Industries LLC
Bedminster Biconversion Corporation
Bedminster Bioconversion Corporation
Bedrosian and Associates
Bee Chemical Co
Beecham Group plc
Beehive Machinery Inc
Beeonics Inc
Beghin-Say International Inc
Behr Process Corporation
Behr-Hella Thermocontrol Inc
Beijing BOE Display Technology Co Ltd
Beijing University of Technology
Bel Air Finishing Supply Corp
Bel Fuse (Macao Commercial Offshore) Limited
BelAir Networks Inc
Belanger Inc
Belchem Fiber Materials GmbH
Belco Pollution Control Corporation
Belden Wire & Cable Company
Belgium Tool and Die Company
Belgonucleaire SA
Belke Manufacturing Company Inc
Belkin International Inc
Bell & Howell Company
Bell Atlantic Network Services Inc
Bell Communcations Research Inc
Bell Communications Research Inc
Bell Helicopter Textron Inc
Bell Industries
Bell Laboratories
Bell South Intellectual Property Corporation
Bell Sports Inc
Bell Telephone Laboratories Incorporated
BellSouth Intellectual Property Corporation
Bellaire Industries Inc
Bellerophon BCM LLC
Bellisio Foods Inc
Belmark Inc
Beloit Corporation
Beloit Technologies Inc
Belshaw Bros Inc
Beltec International
Beltone Electronics Corporation
Belvac Production Machinery Inc
Belwith Products LLC
Bematek Systems Inc
Bemis Associates Inc
Bemis Company Inc
Bemis Manufacturing Company
Ben Venue Laboratories Inc
Benchmark Electronics Limited
Benchmarq Microelectronics Inc
Benckiser-Knapsack GmbH
Bend Research Inc
Bender Machine Inc
Bendix Autolite Corp
Bendix Commercial Vehicle Systems LLC
Benecke-Kaliko AG
Benedict Engineering Company
Beneficial Designs
Benian Filter Company Inc
Benitec Inc
Benmaxx LLC
Bennett Engineering Inc
Bennett Optical Research Inc
Benoit Machine Inc
Benric Technologies
Benteler Automotive Corporation 
Benteler Industries Inc
Bentex Kiddie Corp
Benthos Inc 
Bentley Laboratories Inc
Bently Nevada Corporation 
Benz Research and Development Corp
Benz Research and Development Corporation
Benz Vehicle Corporation
Bepex Corporation
Beptech Inc
Ber-Tek Inc
Berg Companies Inc
Berg Technology Inc
Berger Industries Inc
Bergmen Engineering Inc
Bergstein Packaging Trust
Bergstrom Inc
Beringer Co Inc
Beringer LLC
Berkana Wireless Inc
Berkeley Advanced Biomaterials Inc
Berkeley Design Automation Inc
Berkeley Research Associates Inc
Berkley Inc
Berkshire Hathaway Energy Company
Berkshire Paper Company
Berlex Laboratories Inc 
Bermar Associates Inc
Berne Apparel Company
Bernstein Display
Berry Metal Co
Berry Plastics Corporation
Beryllium Discovery Corp
Besenbruch-Hofmann Inc
Bessam Manufacturing Inc
Best Biofuels LLC c/o Smithfield Foods Inc
Best Cutting Die Company
Best Industries Inc
Best Lockers LLC
Best Power Technology Inc
Bestfoods
Bestline International Research Inc
Bestop Inc
Bestway Inc
Bestway Inflatables & Material Corp
Beta Mfg Co
Beta Power Inc
Betagene Inc
Beth Israel Deaconess Medical Center Inc
Beth Israel Hospital
Beth Israel Hospital Association
Beth Israel Hospital Boston Association
Beth Israel Medical Center
Bethany Fellowship Inc
Bethlehem Construction Co Inc
Bethlehem Steel Co
Bethlehem Steel Corporation
Bettcher Industries Inc
Better Energy Systems Ltd
Better Environmental Development Corporation
Better Ideas Inc
Betts Machine Company
Betz Laboratories Inc
Betz PaperChem Inc
Betzdearborn Inc
Beverage Works Inc
Beyond 3 Inc
Bezwada Biomedical LLC
Bgreen Innovations Inc
Bi-Metal Corp
Bi-Modal Corporation
Bi-Propellant Rocket Research Corporation
BiO2 Medical Inc
Biax Fiberfilm Corporation
Bicent Power LLC
Bico Drilling Tools Inc
Bicro Incorporated
Biex Inc 
Big Bear Networks Inc
Big Belly Solar Inc
Big Fish Environmental LLC
Bigelow Aerospace
Bill's Ice Cream Inc
Billcon Corporation
Billings Energy Corporation
Billings Energy Research Corporation
Bin Tech LLLP
BinOptics Corporation
Binaura Corporation 
Bind Biosciences Inc
Bingotech Inc
Binkley & Hurst LP
Binks Manufacturing Company 
Binney & Smith Inc
Bio Architecture Lab Inc
Bio Array Solutions Ltd
Bio Clinic Corporation
Bio Concept LLC
Bio Gas Systems Inc
Bio Gro Systems Inc
Bio Medical Devices Inc
Bio Quiddity Inc
Bio Science Consultants LLC
Bio Tech Inc
Bio-Con Labs Inc
Bio-Diagnostics Inc
Bio-Energy Systems Inc
Bio-Environmental Systems Inc
Bio-Gas of Colorado Inc
Bio-Giken Inc
Bio-Imaging Research Inc
Bio-Lab Inc
Bio-Medical Devices Inc 
Bio-Medical Research Laboratories Inc
Bio-Medical Sciences Inc
Bio-Metric Systems Inc
Bio-Microbics Inc
Bio-Mimetics Inc
Bio-Nano Power LLC
Bio-Pixels Ltd
Bio-Plas
Bio-Rad Laboratories Inc
Bio-Reaction Industries LLC
Bio-Sun Systems Inc 
Bio-Technical Resources
Bio-Technology General Corp
Bio-Virus Research Incorporated
Bio/Data Corporation
BioAmber Inc
BioCache Pharmaceuticals Inc
BioChain Institute Inc
BioChem Systems Division a Division of Golden Technologies Company Inc
BioChem Technology Inc
BioChemical Solutions LLC
BioCon Incorporated
BioCrystal Ltd
BioDiscovery Inc
BioDrain Medical Inc
BioFluid Technology Inc
BioForce Nanosciences Inc
BioMass Fuel Conversion Associates Inc
BioMimetic Therapeutics LLC
BioMod Surfaces
BioNano Genomics Inc
BioNebraska Inc
BioProcess Technologies Ltd
BioProcessH20 LLC
BioQuiddity Inc
BioSafe Engineering LLC
BioSafe Laboratories Inc
BioSante Pharmaceuticals Inc
BioScurfaces Inc
BioSpecific Technologies Inc
BioStratum Inc
BioStruxs LLC
BioSurge Inc
BioSynthema Inc
BioTechPlex Corporation
BioTime Inc
BioTime Incorporated
BioTransplant Inc
BioVex Limited
BioZyme Inc
Bioalternatives SAS
Bioanalytical Systems Inc 
Bioarray Solutions
Bioart Longyear Company
Biocarbons Corporation
Biocare LLC
Biocare Medical LLC
Biocept Inc
Biocoat Incorporated
Biocommunications Research Corporation
Biocon Inc
Biocon Limited
Biocontrol Inc 
Biocontrol Incorporated
Biodelivery Sciences International Inc
Biodesix Inc
Bioengineering Resources Inc
Biofield Corp 
Biofilter Systems LLC
Bioform Inc
Biofuel Inc
Biofuels Allied Inc
Biogal Gyogyszergyar
Biogen Idec MA Inc
Biogen MA Inc
Biogen Massachusetts
Biogen NV
Biogold Inc
Bioguide Consulting Inc
Biohabitats Incorporated
Biohumus Inc
Bioinfra Inc
Biointerventional Corporation
Biokinetics Inc
Biolargo Life Technologies Incorporated
Biolex Therapeutics Inc
Biolink Corporation
Biological Dynamics Inc
Biological Illumination LLC
Biolonix Inc
Biomagnetic Technologies Inc 
Biomanagement Services Inc
Biomass Conversions LLC
Biomat Sciences Inc
Biomeasure Inc
Biomed Realty LP
Biomed Solutions LLC
Biomedical Objects Inc
Biomedical Polymers Inc
Biomedical Research and Development Laboratories Inc
Biomerieux SA
Biomet 3I LLC
Biomet CV
Biomet Manufacturing Corp
Biomet Sports Medicine LLC
Biometrak Corporation
Biomics Inc
Biomira Inc
Biomorphic VLSI INC
Bioneer Corporation
Bionorica AG
Bionutratech Inc
Bionx Implants Oy
Bioplate Inc
Biopolymer Engineering Inc
Biopolymer Inc
Biopool International Inc
Biopulping International
Biopure Corporation
Bioregen Systems LLC
Bioremediation Specialists LLC
Biorep Technologies Inc
Biosafe Inc
Bioscience Consultants LLC
Bioself International Inc
Biosense Webster (Israel) Ltd
Bioshaft Water Technology Inc
Biosite Diagnostics Inc
Biosource Genetics Corp
Biosource International Inc
Biosource Technologies Inc
Biosphere Medical Inc
Biosphere Technologies Inc
Biospherics Incorporated
Biostar Inc
Biostar Incorporated
Biostar Medical Products Inc
Biosterile Technology Inc
Biosun Systems Corporation
Biosystem Solutions Inc
Biosystems Consulting Inc
Biosystems Partners
Biotech Australia Pty Limited
Biotech Industries Incorporated
Biotech Products LLC
Biotech Research Laboratories Inc
Biotechnica International Inc
Biotechnology Foundation Inc
Biotechnology Inc
Biotechnology Institute Medical University of South Carolina
Biotechnology Research and Development Corporation 
Bioten GP 
Biotherm Energy Systems Inc
Biotherm Hydronic Inc
Biotherm International Inc
Biotrack Inc
Biotronic Systems Corporation
Biotronics
Biova LLC
Biovacs Inc
Biovail Corporation
Biovec Transfusion LLC
Bioverse Inc
Biovitesse Inc
Biovitrum AB
Biozoom Technologies Inc
Bipolar Technolgies Corporation
Birchbridge Incorporated
Bird Machine Company Inc
Birdcare Inventions LLC
Bisco Inc
Bison Designs LLC
Bison Steel Inc
Bissell Health Care Corporation
Bissell Inc
Bitmin Resources Inc
Bitrode Corporation
Bitstream Inc
Bivar Inc
Bixby Energy Systems Inc
Blace Filtronics Inc
Black & Decker Inc
Black & Veatch Corp
Black & Veatch Corporation
Black & Veatch Holding Corp
Black & Veatch LLP
Black Bart Inc
Black Clawson Fibreclaim Inc
Black Gold Corporation
Black Hawk Energy Services Inc
Black Hills Media
Black River Manufacturing Inc
Black Sivalls & Bryson
BlackBerry Limited
BlackRock Engineers Inc
Blacker & Decker Inc
Blackhawk Network Inc
Blade Dynamics Ltd
Blair Industries Inc
Blako Inc
Blanchette Rockefeller Neuroscience Institute
Blasch Precision Ceramics Inc
Blasius Industries Inc
Blast-N-Clean LLC
Blaze Mobile Inc
Blaze Network Products Inc
Blazing Products Inc
Blissfield Manufacturing Company
Block Drug Company Inc
Block Textiles Inc
Block and Company Inc
Blonder-Tongue Laboratories Inc
Bloom Energy Corporation
Bloom Engineering Co Inc
Bloomberg Finance LP
Bloomberg LP
Bloomfield Industries Inc
Blount Energy Resource Corp
Blu-Ray Incorporated
Blue Coat Systems Inc
Blue Comet Ventures LLC
Blue Heron Biotechnology Inc
Blue Marble Turf Products Inc
Blue Photonics Inc
Blue Sea Systems Inc
Blue Spark Technologies Inc
Blue Water Concepts Inc
Blue Wave Semicodnuctors Inc
Blue Wheel Technologies Inc
Blue Wing Corporation
BlueInGreen LLC
BlueLeaf Inc
Bluebird Inc
Bluefire Security Technologies Inc
Bluestar Silicones France
Blunt Wrap USA Inc
Blurime LLC
Bluwav Systems LLC
Bo-Witt Products Inc
Board of Control of Michigan Technological University
Board of Governors of Wayne State University
Board of Regent The University of Texas System
Board of Regents The Univ of Texas System
Board of Regents University of Houston
Board of Regents University of Texas System
Board of Regents for the University of Oklahoma
Board of Regents of the Nevada System of Higher Education
Board of Regents of the Nevada System of Higher Education on behalf of the University of Nevada Reno
Board of Regents of the OU
Board of Regents of the University of Nebraska by and on Behalf of the University of Nebraska Medical Center
Board of Regents/The University of Texas System
Board of Revents of University of Colorado
Board of Supervisors of La State Un & Agricultural and Mechanical College
Board of Supervisors of Louisiana State Universtiy and Agricultural and Mechanical College on behalf of The University of New Orleans
Board of Trustees Operating Michigan State University
Board of Trustees Rutgers The State University of New Jersey
Board of Trustees Stanford University
Board of Trustees for the University of Illnois
Board of Trustees of Leland S Stanford Jr University
Board of Trustees of Michigan State University
Board of Trustees of the Leland Stanford California Corporation
Board of Trustees of the Leland Stanford Univ & Electric Power Research Institute
Board of Trustees of the University Of Kentucky Administration Building University of Kentucky
Board of Trustees of the University of Kentucky 
Board of Trustees of the Universtiy of Arkansas
Boards of Regents The University of Texas System
Bob Baker Enterprises Inc
Bob Dematteis Co
