firm,para_order,num_words,main_topic,prob
Nexcom Technology,15,5,3,0.5351670916202965
Propagation Research Associates,0,0,-1,1.0
Propagation Research Associates,1,45,0,0.7973681872809508
Propagation Research Associates,2,34,5,0.8120670948437961
Propagation Research Associates,3,28,5,0.6627220922789001
Propagation Research Associates,4,10,0,0.9439025833994149
SD Technologies,0,0,-1,1.0
SD Technologies,1,58,0,0.5497390462378555
SD Technologies,2,7,0,0.9099637435267581
SD Technologies,3,25,0,0.8994959424874638
SD Technologies,4,14,0,0.7848439271850053
SD Technologies,5,17,0,0.9136336650163026
SD Technologies,6,25,4,0.7547493196254815
SD Technologies,7,6,3,0.886695972115918
SD Technologies,8,15,4,0.963582433419178
SD Technologies,9,9,4,0.8136875934415315
SD Technologies,10,7,0,0.5130591308174002
SD Technologies,11,53,0,0.953112309745094
SD Technologies,12,44,0,0.7961103674371038
SD Technologies,13,47,0,0.7550274205943128
SD Technologies,14,27,0,0.9744167622711755
SD Technologies,15,41,0,0.6622846284995828
SD Technologies,16,10,4,0.935952364151688
SD Technologies,17,10,4,0.9254816317051605
SD Technologies,18,8,4,0.9339801195130687
SD Technologies,19,12,4,0.9549195521435558
SD Technologies,20,9,4,0.9408488983660803
SD Technologies,21,15,4,0.963582433419178
SD Technologies,22,11,4,0.8744853133446926
SD Technologies,23,9,4,0.9408488983660803
SD Technologies,24,9,4,0.9408488983660803
SD Technologies,25,11,4,0.931899217373675
SD Technologies,26,9,4,0.9177286611070715
SD Technologies,27,16,4,0.9657747321927312
SD Technologies,28,13,4,0.9419055115304803
SD Technologies,29,11,4,0.9510371853833357
SD Technologies,30,9,4,0.8252477120710359
SD Technologies,31,12,4,0.9549195521435558
SD Technologies,32,9,4,0.8599280679595492
SD Technologies,33,13,4,0.9500684901262468
SD Technologies,34,11,4,0.9510371853833357
SD Technologies,35,7,4,0.9253065194347534
SD Technologies,36,10,4,0.9464230965982154
SD Technologies,37,5,2,0.7351713042418974
SD Technologies,38,12,3,0.50889899426932
SD Technologies,39,10,2,0.462066240058919
SD Technologies,40,12,4,0.9461093134379956
SD Technologies,41,11,4,0.9510371853833357
SD Technologies,42,13,4,0.9500684901262468
SD Technologies,43,11,4,0.9318992173736749
SD Technologies,44,12,4,0.9549195521435558
SD Technologies,45,6,4,0.9140091628448561
SD Technologies,46,12,4,0.875627403793514
SD Technologies,47,10,5,0.5722652142558639
SD Technologies,48,13,5,0.9440794138306654
