firm name,link,acquired_merged,public
Genentech,http://www.gene.com/,0,0
Genia Technologies,https://www.roche.com/media/releases/med-cor-2014-06-02.htm,0,0
Genisphere,https://genisphere.com/,0,0
Genomatica,https://www.genomatica.com/,0,0
Genomic Health,http://www.genomichealth.com/,0,0
GeoSynFuels,https://www.linkedin.com/company/geosynfuels,0,0
George Mason Research Foundation,https://www2.gmu.edu/research,0,0
Gilead Biologics,http://www.gilead.com/about/worldwide-operations/north-america/united-states/oceanside-ca,0,0
Gilead Connecticut,http://gileadcs.org/,0,0
Gilead Sciences,http://www.gilead.com/,0,0
GlassPoint Solar,https://www.glasspoint.com/careers/,0,0
GlaxoSmithKline Biologicals,https://www.gsk.com/,0,0
Global Solar Water Power Systems,http://gswps.com/,0,0
Globus Medical,http://www.globusmedical.com/,0,0
Gracenote,http://www.gracenote.com/,0,0
Gram Power,https://www.grampower.com/,0,0
Graphene Technologies,http://graphenetechnologies.com/,0,0
Great American Duck Races,https://www.demingduckrace.com/,0,0
Green Box Batteries,https://biggreenbox.com/,0,0
Green Solar Transportation,http://greensolartransport.com/,0,0
Greyrock Energy,http://www.greyrock.com/,0,0
Guardian Industries,https://www.guardian.com/en/index.html,0,0
HARMAN INTERNATIONAL INDUSTRIES,http://www.harman.com/,0,0
HIQ SOLAR,http://www.hiqsolar.com/,0,0
HM3 Energy,http://hm3energy.com/,0,0
HNO Greenfuels,http://www.hnogreenfuels.com/,0,0
HRL Laboratories,http://www.hrl.com/,0,0
HTS,https://acronyms.thefreedictionary.com/HTS,0,0
Haier US Appliance Solutions,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=4102985,0,0
Halliburton Energy Services,http://www.halliburton.com/en-US/default.page,0,0
Handstand Innovations,http://messagewrap.com/,0,0
Handylab,http://www.annarbor.com/business-review/ann-arbors-handylab-acquired-by-medical-technology-company/,0,0
Headway Technologies,http://headway.com/,0,0
Heliae Development,https://heliae.com/,0,0
Hewlett-Packard Development Company,https://www8.hp.com/us/en/home.html,0,0
Hitachi Metals,https://www.hitachimetals.com/,0,0
Hitachi,http://www.hitachi.com/,0,0
Hollywood Trucks,http://www.hollywoodtrucksllc.com/,0,0
Hon Hai Precision Industry Co.,http://www.foxconn.com/,0,0
Honda Motor Co.,https://www.honda.com/,0,0
IBC Pharmaceuticals,https://www.immunomedics.com/ibc-pharmaceuticals.shtml,0,0
IDEA TREE,https://www.ideatreepromos.com/,0,0
III HOLDINGS 1,http://www.patentbuddy.com/Company/Profile/III-HOLDINGS-1-LLC/5297939,0,0
IMRA America,https://www.imra.com/,0,0
INTEVAC,https://www.intevac.com/,0,0
ITN Energy Systems,http://itnes.com/,0,0
Ibis Biosciences,https://www.fiercebiotech.com/biotech/abbott-completes-acquisition-of-ibis-biosciences-a-subsidiary-of-isis,0,0
Ignis Innovation,http://www.ignisinnovation.com/,0,0
Illinois Tool Works,http://www.itw.com/,0,0
Immunolight,http://www.immunolight.com/,0,0
Immunopath Profile,https://www.corporationwiki.com/Florida/Naples/immunopath-profile-llc/101245995.aspx,0,0
InVisage Technologies,https://techcrunch.com/2017/11/09/apple-has-acquired-imaging-sensor-startup-invisage-technologies/,0,0
Inaeris Technologies,http://www.inaeristech.com/,0,0
Industrial Origami,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapId=30613219,0,0
Industrial Science & Technology Network,http://www.istninc.com/home.htm,0,0
Industrial Solar Heating Systems,http://www.heliocol.com/heliocol-is/industrial,0,0
Innovalight,https://www.greentechmedia.com/articles/read/Innovalight-Successful-Solar-Startup-Troubling-Exit,0,0
Innovation Hammer,http://www.ihammerllc.com/,0,0
Inphenix,http://www.inphenix.com/,0,0
Integrated DNA Technologies,http://www.idtdna.com/,0,0
Integrated Device Technology,https://www.idt.com/,0,0
Integrated Nano-Technologies,http://www.intpalladium.com/,0,0
Integrated Solar Technology,http://www.suntegrasolar.com/,0,0
Interez,https://www.interez.sk/,0,0
Interface Performance Materials,http://www.interfacematerials.com/products/,0,0
Intermolecular,https://intermolecular.com/,0,0
Intrexon CEU,http://www.freepatentsonline.com/9454640.html,0,0
Intuitive Surgical Operations,https://www.intuitive.com/,0,0
Inventus Holdings,http://www.inventusholdings.com/,0,0
Ion Power Group,https://ionpowergroup.com/,0,0
Isis Pharmaceuticals,http://www.ionispharma.com/,0,0
J. E. WHITE,http://www.lawyers.com/charleston/west-virginia/j-e-white-jr-1781725-a/,0,0
Janssen Biotech,http://www.janssen.com/,0,0
Johnson & Johnson Consumer Companies,https://www.jnj.com/healthcare-products/consumer,0,0
Johnson & Johnson Vision Care,https://www.jjvision.com/,0,0
Joule Unlimited Technologies,https://www.linkedin.com/company/joule-unlimited-technologies-inc-,1,0
K.S. INTERNATIONAL CO.,http://ksinternational.co/,0,0
KAI Pharmaceuticals,https://www.bloomberg.com/research/stocks/private/snapshot.asp?privcapid=7687675,0,0
KOLO TECHNOLOGIES,http://www.kolomedical.com/,0,0
KOLON INDUSTRIES,http://www.kolonindustries.com/eng/main.asp,0,0
KR Design House,http://www.krdesignhouse.com/,0,0
Kala Pharmaceuticals,https://kalarx.com/,0,0
Kamtec,http://www.kamtec.co.uk/,0,0
Kansai Paint Co.,https://www.kansai.com/,0,0
Kashiv Pharma,https://www.kashivpharma.com/,0,0
Kinestral Technologies,https://www.kinestral.com/,0,0
Kiverdi,http://www.kiverdi.com/,0,0
Kobe Steel,http://www.kobelco.co.jp/english/,0,0
Koch Biological Solutions,http://www.kochbiologicalsolutions.com/,0,0
Korea Kumho Petrochemical Co.,http://kumhopetrochemical.lookchem.com/,0,0
Kulite Semiconductor Products,https://www.kulite.com/,0,0
